Year,Month,Day,Uspeed,Vspeed,Temp,Hum,Pres,SWdown,LWdown,Precip
2022,5,28,-0.04945368169193094,0.6015797566170193,284.95995270876404,0.005719533579739421,101647.75,287.632128646286,311.5623914133879,1.6133008008008007e-08
2022,5,29,-0.228977106845678,0.4147552200153185,285.4883035772941,0.005948233222248562,101647.75,283.2189100868138,315.6531817761668,1.6133008008008007e-08
2022,5,30,-0.0175279738429492,0.3334023054510422,286.0289201580394,0.006130214938232139,101647.75,282.62358807407435,317.6734945756837,1.6133008008008007e-08
2022,5,31,0.05682010879968574,0.3785707759152112,286.6446982997464,0.006299104641269964,101647.75,286.89880492789655,318.1132332673101,1.6133008008008007e-08
2022,6,1,0.22628270612532375,0.24702819628993533,287.21042016126,0.006447188591963464,101647.75,293.5524248170961,317.09234317701794,1.6133008008008007e-08
2022,6,2,0.3498823477714974,0.047140171657303664,287.5650832397049,0.006473878814561466,101647.75,295.3937995728684,316.2526995302501,1.6133008008008007e-08
2022,6,3,0.4501377386899963,-0.23076496760853324,287.67882886760924,0.00640739895919747,101052.875,294.6768675913895,315.12925624798646,1.6133008008008007e-08
2022,6,4,0.864156667462403,-0.24158776180964217,287.76477744294857,0.00631644112569695,101052.875,295.9686750384513,313.8244264907976,1.6133008008008007e-08
2022,6,5,0.8473104510243535,-0.3194832607749023,287.8286925573953,0.0062110720705748764,101052.875,300.5434820453071,311.95073373832463,1.6133008008008007e-08
2022,6,6,1.1382811721764279,-0.1565797638388539,287.80200836668905,0.006128693514687455,101052.875,299.9642440256038,310.6379610029899,1.6133008008008007e-08
2022,6,7,1.489372758606705,-0.07937144532532646,287.6465420592356,0.006083038655461309,101052.875,294.48141631619154,310.2010624725091,1.6133008008008007e-08
2022,6,8,1.7092826804691006,0.06257344181577368,287.46287095847646,0.006044231805234586,101052.875,287.8497792492676,310.4141486266384,1.6133008008008007e-08
2022,6,9,1.5898438143247398,0.13900208026329333,287.16112410432424,0.006054719462573573,101052.875,283.9460704857498,310.3364878738604,1.6133008008008007e-08
2022,6,10,1.3769645242944968,0.3923668551698041,286.7658976377381,0.0060228894066162615,101052.875,282.8464496426674,309.29303525783837,1.6133008008008007e-08
2022,6,11,1.6019148773133054,0.5436947591980821,286.2259488914711,0.006002833050306493,101052.875,278.9063009192638,309.1003745239102,1.6133008008008007e-08
2022,6,12,1.5867926319654482,1.0323145436207202,285.63005533109157,0.0059774178869857935,101052.875,269.5803896334906,310.2351712420899,1.6133008008008007e-08
2022,6,13,1.2698458615020827,1.6424980271452854,285.01714932801036,0.006007650757043967,101052.875,260.07675207367396,311.6747690599589,1.6133008008008007e-08
2022,6,14,1.3367140936707853,1.951357033044064,284.5401612338964,0.005990836722775689,101052.875,254.37572726562556,312.6577314609019,1.6133008008008007e-08
2022,6,15,1.1369647866291155,2.0299571566381727,284.2107227363972,0.005991232617133421,101052.875,248.32345028010747,314.46744574495864,1.6133008008008007e-08
2022,6,16,0.938694087352109,2.0706539791663396,283.8945150852986,0.0059867775210424344,101074.26086956522,240.90685877180584,316.576575512794,1.6133008008008007e-08
2022,6,17,1.2241252691998739,2.1952524911209172,283.5289577259651,0.006010981490697998,101373.70833333333,229.75818659357165,319.26069298996606,1.6133008008008007e-08
2022,6,18,1.3881351476455381,2.195444771862761,283.3311409561883,0.006061573239525277,101373.70833333333,220.0960095566984,322.18788923870153,1.6133008008008007e-08
2022,6,19,1.5667606036258919,2.1503786849490165,283.4977949406795,0.006187116925242319,101373.70833333333,212.4022295044337,326.61327589449604,1.6133008008008007e-08
2022,6,20,1.727039798109303,1.9024279409725011,283.96868974891197,0.006370206961950698,101373.70833333333,209.48569874258203,331.7106347699792,1.6133008008008007e-08
2022,6,21,2.085675423979112,1.465659869368487,284.63154385972155,0.006629276604503783,101373.70833333333,204.85292962676982,337.94534109599977,1.6133008008008007e-08
2022,6,22,2.515339612867567,1.1260300499076852,285.390758192363,0.007009135271487561,101373.70833333333,201.79312301718232,343.47976839659736,1.6133008008008007e-08
2022,6,23,2.9466805697108462,0.9545499302589938,286.0706333865878,0.007256571991170985,101373.70833333333,200.8356861353773,347.39978779657065,1.6133008008008007e-08
2022,6,24,2.8975650032268643,0.8498194751424939,286.45692740110326,0.007427251319399348,101373.70833333333,198.75672900788504,349.66012406576084,1.6133008008008007e-08
2022,6,25,2.8358236395916343,0.8001763960172376,286.49039803715146,0.007548416176343818,101373.70833333333,193.50181760720906,351.5021635605058,1.6133008008008007e-08
2022,6,26,2.944862451009832,0.8760594247762978,286.1856083642057,0.007561851240115434,101373.70833333333,180.64337455273377,353.75312021029697,1.6133008008008007e-08
2022,6,27,2.9400803663353567,0.6643531252560065,285.8298908037059,0.007536795473413156,101373.70833333333,169.68106008793944,355.5898866610971,1.6133008008008007e-08
2022,6,28,3.2330291253633083,0.3071766300333728,285.7344988919991,0.00754489414949778,101373.70833333333,164.73390899575008,356.6751746099388,1.6133008008008007e-08
2022,6,29,3.3616176278707517,-0.11511011554213006,285.87881275215864,0.007592523839782343,101373.70833333333,163.25132357530788,357.4091095502656,1.6133008008008007e-08
2022,6,30,3.224551912144156,-0.3117018343057175,286.1267439112147,0.007674919722089042,101368.14583333333,157.0004395669938,359.1008266909574,1.6133008008008007e-08
2022,7,1,3.387451403214232,-0.5104250539306903,286.47628530809067,0.007900231455442979,101317.97916666667,155.37027012470833,360.72312868660333,1.6133008008008007e-08
2022,7,2,3.1053169933330995,-0.4736672643135128,286.9688006906011,0.008085463244222725,101212.41666666667,161.54621711939933,360.9653595838429,1.6133008008008007e-08
2022,7,3,2.7895781227870806,-0.36795049547939085,287.39674913563806,0.008273053995446537,101141.85416666667,172.57953629721106,359.52217140555894,1.6133008008008007e-08
2022,7,4,2.503830365058449,0.040843947960633536,287.6476565252467,0.008387499044519851,101069.10416666667,178.32257861695007,358.67947941521345,1.6133008008008007e-08
2022,7,5,2.23331954291091,0.08689911589168561,287.7837874667267,0.008472947351736771,101046.9375,176.775638783767,359.73358126773076,1.6133008008008007e-08
2022,7,6,1.7090001448912235,0.2474878151005793,287.8531027682321,0.008588064183576173,100910.41666666667,174.50544364752923,360.23914193098545,1.6133008008008007e-08
2022,7,7,1.3219094993244345,0.3142229828338805,287.9003277548251,0.008607932653119054,100910.41666666667,178.82695291652703,358.36790218167704,1.6133008008008007e-08
2022,7,8,0.9852942041109904,0.4110196897422135,287.89053590108057,0.008562365067914909,100910.41666666667,182.23669411590367,355.68222484263714,1.6133008008008007e-08
2022,7,9,1.0786218095189528,0.4075690883713487,287.7840433626633,0.008561312863668673,100910.41666666667,181.11564146975937,353.7567851688587,1.6133008008008007e-08
2022,7,10,1.0934195775245727,0.7844984126725387,287.47591336341094,0.00845853577199314,100910.41666666667,177.61202428632083,352.1630281253437,1.6133008008008007e-08
2022,7,11,0.9472358754818608,1.298853417174159,287.10642610363413,0.00830762074568588,100910.41666666667,177.19035755521105,350.1972151625178,1.6133008008008007e-08
2022,7,12,0.9941871551036479,1.9482772049836194,286.81132930509483,0.008072360801251342,100910.41666666667,182.0523960743748,347.084735559424,1.6133008008008007e-08
2022,7,13,0.9036681130216084,1.9817726194062362,286.5137610891413,0.00783827470547617,100910.41666666667,187.92365348960715,343.4283531068375,1.6133008008008007e-08
2022,7,14,1.0983948926434612,2.016175496343869,286.1355343766385,0.007653378629178178,100910.41666666667,188.15649578001975,340.8745183501919,1.6133008008008007e-08
2022,7,15,1.2681811203356097,2.049397346973719,285.68144784932076,0.00751924491317146,100910.41666666667,181.8993841913784,340.12987650020733,1.6133008008008007e-08
2022,7,16,1.515063518316532,2.499349788129311,285.08627429508795,0.007348764966961463,100910.41666666667,176.44644983905738,338.5104622243556,1.6133008008008007e-08
2022,7,17,1.6378207501934976,2.8899553416810004,284.3511130868409,0.007041795200869574,100910.41666666667,169.9972803089534,335.99039066227317,1.6133008008008007e-08
2022,7,18,1.5867757343600477,2.9750431845203194,283.65966898659934,0.006734688263774196,100910.41666666667,164.09339975013143,333.52042471791674,1.6133008008008007e-08
2022,7,19,1.5921173820732681,2.943179399882159,283.0969054159184,0.006514566386539553,100910.41666666667,157.34684706133515,332.1714054483374,1.6133008008008007e-08
2022,7,20,1.6106034889772183,2.721554385254183,282.6383329332292,0.006271534734160431,100916.1725,150.24143253995192,331.4593845995667,1.6133008008008007e-08
2022,7,21,1.7744825967011446,2.17348198243653,282.40736073487403,0.006162634477859799,100916.1725,145.72803146677356,331.2265805875236,1.6133008008008007e-08
2022,7,22,1.8791761230230506,1.9757796391953275,282.4927968528289,0.0061460316352243685,100938.6875,146.6867170172288,331.1790424468299,1.6133008008008007e-08
2022,7,23,1.6739669320986585,1.7947041043979877,282.7525581112543,0.006182656947421502,100938.6875,150.93348948527023,331.4543628194517,1.6133008008008007e-08
2022,7,24,1.6912871035567176,1.4571926625482683,283.096363129399,0.006283422220398825,101130.41666666667,151.62423871587058,333.5841116266188,1.6133008008008007e-08
