 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2003      1      2   12.00        24.00   0.81438E+01   0.00000E+00   0.81438E+01   0.39687E+01   0.94956E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.22574E+00  -0.39199E+00   0.55488E+02  -0.10745E+03   0.72242E-04   0.11826E-08   0.99804E-09       0.31     216.01     0.0000  0.00   0.34283E-04  -0.22843E-02     3.6350     3.7505     4.1377     4.2214     5.0362
   2003      1      3   12.00        48.00   0.18887E+02   0.00000E+00   0.18887E+02   0.66903E+01   0.18887E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.80529E-01  -0.14233E+00  -0.35550E+00  -0.10424E+03   0.87365E-04   0.11242E-10   0.33307E-08       0.31     227.48     0.0000  0.00   0.14235E-04  -0.47496E-02     6.4245     5.4304     5.4328     5.4413     5.5109
   2003      1      4   12.00        72.00   0.21140E+02   0.00000E+00   0.21140E+02   0.88959E+01   0.21140E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.22508E+01  -0.27771E+01  -0.78283E+01  -0.85106E+02   0.72857E-03   0.12082E-10   0.28668E-04       0.31     216.62     0.0000  0.00   0.73812E-02  -0.36448E+00     8.7962     6.9043     6.9053     6.9114     6.9597
   2003      1      5   12.00        96.00   0.21699E+02   0.00000E+00   0.21699E+02   0.10837E+02   0.21699E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.31089E+01  -0.33457E+01  -0.91533E+01  -0.69178E+02   0.10640E-02   0.40587E-11   0.38561E-04       0.31     196.12     0.0000  0.00   0.14879E-01  -0.58888E+00    11.1976     8.1666     8.1444     8.1492     8.1872
   2003      1      6   12.00       120.00   0.22961E+02   0.00000E+00   0.22961E+02   0.12405E+02   0.22961E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.20637E+01   0.17577E+00  -0.20778E+02  -0.64007E+02   0.10221E-02   0.14240E-12   0.32308E-04       0.31     193.99     0.0000  0.00   0.46261E-02  -0.54809E+00    13.2812     9.3871     9.2700     9.2742     9.3079
   2003      1      7   12.00       144.00   0.23432E+02   0.00000E+00   0.23432E+02   0.13860E+02   0.23432E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.17650E+01   0.19001E+01  -0.24956E+02  -0.60796E+02   0.10638E-02   0.29601E-13   0.31931E-04       0.31     195.83     0.0000  0.00  -0.54713E-02  -0.58963E+00    15.2082    10.6652    10.3904    10.3943    10.4251
   2003      1      8   12.00       168.00   0.24319E+02   0.00000E+00   0.24319E+02   0.15194E+02   0.24319E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.60291E+00   0.48869E+01  -0.35243E+02  -0.61714E+02   0.82616E-03   0.40985E-14   0.14956E-04       0.31     206.13     0.0000  0.00   0.11876E-02  -0.37302E+00    16.9043    11.9866    11.5209    11.5247    11.5543
   2003      1      9   12.00       192.00   0.24996E+02   0.00000E+00   0.24996E+02   0.16475E+02   0.24996E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.14935E+00   0.80218E+01  -0.44755E+02  -0.63710E+02   0.58303E-03   0.64359E-15   0.49612E-05       0.31     221.08     0.0000  0.00   0.76088E-03  -0.19421E+00    18.4223    13.4185    12.7735    12.7773    12.8062
   2003      1     10   12.00       216.00   0.25160E+02   0.00000E+00   0.25160E+02   0.17706E+02   0.25160E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.63032E-01   0.96439E+01  -0.48201E+02  -0.59967E+02   0.63111E-03   0.21316E-15   0.60570E-05       0.31     222.55     0.0000  0.00  -0.74011E-02  -0.22110E+00    19.7985    14.8691    14.0534    14.0568    14.0837
   2003      1     11   12.00       240.00   0.25105E+02   0.00000E+00   0.25105E+02   0.18823E+02   0.25107E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56808E+00   0.10941E+02  -0.50824E+02  -0.54076E+02   0.70365E-03   0.96229E-16   0.64974E-05       0.31     216.24     0.0000  0.00  -0.64785E-02  -0.25844E+00    21.0074    16.2397    15.2491    15.2522    15.2767
   2003      1     12   12.00       264.00   0.25157E+02   0.00000E+00   0.25157E+02   0.19852E+02   0.25160E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.58010E+00   0.11853E+02  -0.52651E+02  -0.55549E+02   0.76672E-03   0.56542E-16   0.79068E-05       0.31     224.88     0.0000  0.00  -0.13064E-01  -0.28326E+00    22.0759    17.5472    16.4033    16.4065    16.4307
   2003      1     13   12.00       288.00   0.25615E+02   0.00000E+00   0.25615E+02   0.20992E+02   0.25621E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.75843E+00   0.15058E+02  -0.58923E+02  -0.58764E+02   0.80387E-03   0.76764E-16   0.85557E-05       0.31     240.96     0.0000  0.00  -0.14379E-01  -0.30823E+00    23.1913    18.9224    17.7005    17.7037    17.7282
   2003      1     14   12.00       312.00   0.25929E+02   0.00000E+00   0.25929E+02   0.22087E+02   0.25942E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10275E+01   0.16985E+02  -0.62891E+02  -0.55112E+02   0.69313E-03   0.50416E-16   0.44951E-05       0.31     241.02     0.0000  0.00  -0.99213E-02  -0.23073E+00    24.2303    20.2959    19.0168    19.0198    19.0428
   2003      1     15   12.00       336.00   0.26304E+02   0.00000E+00   0.26304E+02   0.23131E+02   0.26319E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88112E+00   0.19078E+02  -0.66491E+02  -0.58600E+02   0.59562E-03   0.36195E-16   0.22120E-05       0.30     254.80     0.0000  0.00  -0.16760E-01  -0.10735E+00    25.1780    21.6247    20.3055    20.3086    20.3319
