 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.19084E+02   0.00000E+00   0.19084E+02   0.19171E+02   0.19429E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.26320E+02   0.71368E+02  -0.15692E+03  -0.80749E+03   0.27460E-02   0.24595E-05   0.46747E-03       0.16     220.30     0.0000  0.00   0.33992E-01  -0.29887E+00    19.1847    19.1769    19.1605    19.0784    19.1804
   2021      7      3   12.00        48.00   0.18644E+02   0.00000E+00   0.18644E+02   0.18910E+02   0.19313E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54262E+02   0.11313E+03  -0.23882E+03  -0.78088E+03   0.45252E-02   0.43175E-05   0.18046E-02       0.16     156.07     0.0000  0.00   0.82787E-01  -0.50803E+00    18.9084    18.9464    18.9612    19.0024    19.1469
   2021      7      4   12.00        72.00   0.16677E+02   0.00000E+00   0.16677E+02   0.16794E+02   0.17255E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32192E+02   0.53025E+02  -0.14430E+03  -0.90863E+03   0.25547E-02   0.27894E-05   0.23119E-03       0.16      37.51     0.0000  0.00   0.28687E-01   0.57824E-01    16.7907    16.8104    16.8233    16.8722    17.0614
   2021      7      5   12.00        96.00   0.16751E+02   0.00000E+00   0.16751E+02   0.16964E+02   0.17418E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36965E+02   0.61225E+02  -0.15034E+03  -0.89079E+03   0.34471E-02   0.35799E-05   0.13593E-02       0.16      62.86     0.0000  0.00   0.27840E-01   0.14454E+01    16.9594    16.9922    17.0071    17.0541    17.2343
   2021      7      6   12.00       120.00   0.16196E+02   0.00000E+00   0.16196E+02   0.16618E+02   0.17133E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.54781E+02   0.97365E+02  -0.19965E+03  -0.95665E+03   0.67388E-02   0.85752E-05   0.16269E-01       0.16     132.09     0.0000  0.00   0.11790E+00   0.52535E+01    16.6115    16.6731    16.6961    16.7507    16.9391
   2021      7      7   12.00       144.00   0.17157E+02   0.00000E+00   0.17157E+02   0.17478E+02   0.17970E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.55285E+02   0.10420E+03  -0.21983E+03  -0.90046E+03   0.54470E-02   0.59276E-05   0.81242E-02       0.16     188.92     0.0000  0.00   0.17887E-01   0.36905E+01    17.4672    17.5260    17.5474    17.6009    17.7849
   2021      7      8   12.00       168.00   0.16871E+02   0.00000E+00   0.16871E+02   0.17254E+02   0.17725E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.61683E+02   0.10537E+03  -0.22817E+03  -0.89915E+03   0.55559E-02   0.63311E-05   0.65393E-02       0.16     123.20     0.0000  0.00  -0.65729E-01   0.34734E+01    17.2462    17.3077    17.3297    17.3786    17.5549
   2021      7      9   12.00       192.00   0.16572E+02   0.00000E+00   0.16572E+02   0.16793E+02   0.17257E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41036E+02   0.67931E+02  -0.16146E+03  -0.90634E+03   0.39365E-02   0.40712E-05   0.20865E-02       0.16      68.90     0.0000  0.00   0.33573E-01   0.12199E+01    16.7888    16.8255    16.8419    16.8911    17.0716
   2021      7     10   12.00       216.00   0.16561E+02   0.00000E+00   0.16561E+02   0.16808E+02   0.17294E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36303E+02   0.76163E+02  -0.16829E+03  -0.90999E+03   0.48084E-02   0.46271E-05   0.36741E-02       0.16      85.89     0.0000  0.00   0.46663E-01  -0.23241E+01    16.7996    16.8465    16.8654    16.9177    17.1104
   2021      7     11   12.00       240.00   0.17132E+02   0.00000E+00   0.17132E+02   0.17336E+02   0.17767E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29348E+02   0.70015E+02  -0.16009E+03  -0.87018E+03   0.40057E-02   0.48597E-05   0.27269E-02       0.16     108.45     0.0000  0.00   0.86892E-02  -0.22490E+01    17.3294    17.3666    17.3831    17.4298    17.6062
