 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.83811E+01   0.00000E+00  -0.10360E-10   0.20799E+01   0.40119E+01   0.00000E+00  -0.27643E-02  -0.83811E+01  -0.17454E+03   0.65763E+02   0.10878E+03  -0.28235E+01   0.12731E-01   0.57559E-08   0.00000E+00       0.85      10.40     0.0000  0.00   0.55213E-06  -0.97527E-06     0.6680     1.8878     3.1266     3.5708     4.0119
   2022      1      3   12.00        48.00  -0.86091E+01   0.00000E+00  -0.10580E-10   0.19366E+01   0.39519E+01   0.00000E+00  -0.26659E-02  -0.86091E+01  -0.18999E+03   0.73644E+02   0.11635E+03  -0.30229E+01   0.14125E-01   0.18532E-57   0.00000E+00       0.85       9.05     0.0000  0.00  -0.82033E-49  -0.11722E-46     0.6061     1.7798     2.8897     3.3327     3.9519
   2022      1      4   12.00        72.00  -0.82999E+01   0.00000E+00  -0.10854E-10   0.18493E+01   0.39119E+01   0.00000E+00  -0.30158E-02  -0.82999E+01  -0.18633E+03   0.75460E+02   0.11087E+03  -0.30137E+01   0.14017E-01   0.14789E-99   0.00000E+00       0.85       9.12     0.0000  0.00  -0.11673E-88  -0.15430E-86     0.5702     1.6994     2.7343     3.2305     3.9119
   2022      1      5   12.00        96.00  -0.85288E+01   0.00000E+00  -0.11176E-10   0.17822E+01   0.38802E+01   0.00000E+00  -0.33964E-02  -0.85288E+01  -0.16361E+03   0.62847E+02   0.10076E+03  -0.30018E+01   0.11925E-01   0.10491-141   0.00000E+00       0.85       8.70     0.0000  0.00  -0.11362-128  -0.15225-126     0.5441     1.6291     2.6162     3.1656     3.8802
   2022      1      6   12.00       120.00  -0.99173E+01   0.00000E+00  -0.11604E-10   0.17264E+01   0.38532E+01   0.00000E+00  -0.43088E-02  -0.99173E+01  -0.11990E+03   0.36175E+02   0.83730E+02  -0.29900E+01   0.79535E-02   0.00000E+00   0.00000E+00       0.85       8.48     0.0000  0.00  -0.11165-168  -0.14962-166     0.5230     1.5657     2.5209     3.1168     3.8532
   2022      1      7   12.00       144.00  -0.18072E+02   0.00000E+00  -0.12412E-10   0.16797E+01   0.38302E+01   0.00000E+00  -0.81349E-02  -0.18072E+02  -0.53779E+02   0.10531E+02   0.43248E+02  -0.29687E+01   0.37610E-02   0.00000E+00   0.00000E+00       0.85       8.91     0.0000  0.00  -0.10889-208  -0.14591-206     0.5059     1.5097     2.4424     3.0787     3.8302
   2022      1      8   12.00       168.00  -0.12073E+02   0.00000E+00  -0.13699E-10   0.16404E+01   0.38103E+01   0.00000E+00  -0.66726E-02  -0.12073E+02  -0.10507E+03   0.28808E+02   0.76266E+02  -0.29486E+01   0.96217E-02   0.00000E+00   0.00000E+00       0.85       9.49     0.0000  0.00  -0.10295-248  -0.13795-246     0.4917     1.4609     2.3772     3.0483     3.8103
   2022      1      9   12.00       192.00  -0.11763E+02   0.00000E+00  -0.14458E-10   0.16040E+01   0.37909E+01   0.00000E+00  -0.61804E-02  -0.11763E+02  -0.13316E+03   0.53210E+02   0.79950E+02  -0.29374E+01   0.16335E-01   0.00000E+00   0.00000E+00       0.85       9.64     0.0000  0.00  -0.98452-289  -0.13192-286     0.4768     1.4146     2.3203     3.0205     3.7909
   2022      1     10   12.00       216.00  -0.12056E+02   0.00000E+00  -0.15216E-10   0.15715E+01   0.37728E+01   0.00000E+00  -0.65867E-02  -0.12056E+02  -0.11268E+03   0.44260E+02   0.68416E+02  -0.29217E+01   0.13619E-01   0.00000E+00   0.00000E+00       0.85       9.53     0.0000  0.00   0.55335-321   0.32855-319     0.4629     1.3723     2.2707     2.9962     3.7728
   2022      1     11   12.00       240.00  -0.11483E+02   0.00000E+00  -0.16013E-10   0.15424E+01   0.37559E+01   0.00000E+00  -0.65725E-02  -0.11483E+02  -0.68351E+02   0.28717E+02   0.39633E+02  -0.29060E+01   0.90641E-02   0.00000E+00   0.00000E+00       0.85       9.82     0.0000  0.00   0.55335-321   0.32855-319     0.4501     1.3340     2.2273     2.9746     3.7559
   2022      1     12   12.00       264.00  -0.10268E+02   0.00000E+00  -0.16698E-10   0.15157E+01   0.37397E+01   0.00000E+00  -0.60070E-02  -0.10268E+02  -0.35709E+02   0.21878E+02   0.13832E+02  -0.28930E+01   0.79766E-02   0.00000E+00   0.00000E+00       0.85      10.57     0.0000  0.00   0.55335-321   0.32855-319     0.4378     1.2987     2.1884     2.9547     3.7397
   2022      1     13   12.00       288.00  -0.98406E+01   0.00000E+00  -0.17212E-10   0.14910E+01   0.37238E+01   0.00000E+00  -0.56195E-02  -0.98406E+01  -0.25605E+02   0.21628E+02   0.39764E+01  -0.28816E+01   0.92434E-02   0.00000E+00   0.00000E+00       0.85      12.22     0.0000  0.00   0.55335-321   0.32855-319     0.4260     1.2659     2.1533     2.9358     3.7238
