 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10     13   12.00       288.00   0.25859E+01   0.00000E+00   0.25859E+01   0.30579E+01   0.34856E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.77401E+01   0.72966E+01  -0.60623E+02   0.24897E+01   0.22064E-02   0.20847E-15   0.11067E-03       0.10      65.58     0.0000  0.00   0.64622E-01   0.12055E+00     2.6397     3.1553     3.4666     3.4840     3.4665
   2000     10     14   12.00       312.00   0.20940E+01   0.00000E+00   0.20940E+01   0.28584E+01   0.34905E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.86650E+01   0.84173E+01  -0.60539E+02   0.30074E+01   0.27790E-02   0.13602E-10   0.29365E-03       0.10      62.51     0.0000  0.00   0.99884E-01   0.99266E+00     2.1457     3.1484     3.4900     3.4883     3.4702
   2000     10     15   12.00       336.00   0.17211E+01   0.00000E+00   0.17211E+01   0.26617E+01   0.35098E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.71786E+01   0.70586E+01  -0.54681E+02   0.31842E+01   0.27369E-02   0.27535E-10   0.28196E-03       0.10      59.09     0.0000  0.00   0.95244E-01   0.11367E+01     1.7667     2.9948     3.5094     3.5076     3.4886
   2000     10     16   12.00       360.00   0.14629E+01   0.00000E+00   0.14629E+01   0.25020E+01   0.35147E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.59107E+01   0.66188E+01  -0.49130E+02   0.31312E+01   0.29815E-02   0.17239E-10   0.38958E-03       0.11      55.12     0.0000  0.00   0.11497E+00   0.13670E+01     1.5014     2.8191     3.5143     3.5125     3.4934
   2000     10     17   12.00       384.00   0.12793E+01   0.00000E+00   0.12793E+01   0.23784E+01   0.35077E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.49593E+01   0.51566E+01  -0.44564E+02   0.29739E+01   0.29740E-02   0.31744E-11   0.41452E-03       0.11      53.52     0.0000  0.00   0.11533E+00   0.12407E+01     1.3170     2.6480     3.5073     3.5056     3.4869
   2000     10     18   12.00       408.00   0.11749E+01   0.00000E+00   0.11749E+01   0.22647E+01   0.34924E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.54407E+01   0.67557E+01  -0.45097E+02   0.28123E+01   0.35404E-02   0.38390E-11   0.13014E-02       0.11      51.83     0.0000  0.00   0.17127E+00   0.14136E+01     1.2030     2.4272     3.4915     3.4905     3.4725
   2000     10     19   12.00       432.00   0.10597E+01   0.00000E+00   0.10597E+01   0.21386E+01   0.34699E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.55093E+01   0.55391E+01  -0.44311E+02   0.26271E+01   0.34036E-02   0.12741E-11   0.59607E-03       0.11      50.17     0.0000  0.00   0.15749E+00   0.11752E+01     1.0873     2.1388     3.4651     3.4682     3.4510
   2000     10     20   12.00       456.00   0.83828E+00   0.00000E+00   0.83828E+00   0.20122E+01   0.34385E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.42386E+01   0.43388E+01  -0.41942E+02   0.24384E+01   0.28266E-02   0.32152E-13   0.30577E-03       0.11      47.13     0.0000  0.00   0.10423E+00   0.10404E+01     0.8710     2.0210     3.4223     3.4369     3.4207
   2000     10     21   12.00       480.00   0.54969E+00   0.00000E+00   0.54969E+00   0.18743E+01   0.34009E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.46040E+01   0.40884E+01  -0.43319E+02   0.22390E+01   0.29516E-02   0.54906E-14   0.35292E-03       0.11      45.77     0.0000  0.00   0.11102E+00   0.12926E+01     0.5813     1.9816     3.3742     3.3994     3.3843
   2000     10     22   12.00       504.00   0.19266E+00   0.00000E+00   0.19266E+00   0.16990E+01   0.33613E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.60415E+01   0.46575E+01  -0.46395E+02   0.20774E+01   0.33076E-02   0.34997E-14   0.80441E-03       0.11      44.59     0.0000  0.00   0.14155E+00   0.15514E+01     0.2440     1.8895     3.3299     3.3600     3.3459
