 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1     13   12.00       288.00  -0.17790E+02   0.00000E+00  -0.20442E-10   0.15038E+01   0.37302E+01   0.00000E+00  -0.55209E-02  -0.17790E+02   0.37462E+02  -0.10563E+02  -0.26899E+02  -0.28697E+01   0.94663E-02   0.00000E+00   0.00000E+00       0.85      12.22     0.0000  0.00   0.55335-321   0.32855-319     0.4331     1.2827     2.1701     2.9464     3.7302
   2022      1     14   12.00       312.00  -0.17914E+02   0.00000E+00  -0.20858E-10   0.14805E+01   0.37150E+01   0.00000E+00  -0.55061E-02  -0.17914E+02   0.40992E+02  -0.12350E+02  -0.28642E+02  -0.28578E+01   0.97500E-02   0.00000E+00   0.00000E+00       0.85      14.69     0.0000  0.00   0.55335-321   0.32855-319     0.4216     1.2516     2.1377     2.9287     3.7150
   2022      1     15   12.00       336.00  -0.17756E+02   0.00000E+00  -0.21294E-10   0.14592E+01   0.37003E+01   0.00000E+00  -0.54705E-02  -0.17756E+02   0.42481E+02  -0.92023E+01  -0.33279E+02  -0.28459E+01   0.91501E-02   0.00000E+00   0.00000E+00       0.85      16.84     0.0000  0.00   0.55335-321   0.32855-319     0.4110     1.2231     2.1082     2.9122     3.7003
   2022      1     16   12.00       360.00  -0.18197E+02   0.00000E+00  -0.21733E-10   0.14395E+01   0.36861E+01   0.00000E+00  -0.54552E-02  -0.18197E+02   0.38320E+02  -0.55273E+01  -0.32793E+02  -0.28345E+01   0.85787E-02   0.00000E+00   0.00000E+00       0.85      17.74     0.0000  0.00   0.55335-321   0.32855-319     0.4011     1.1969     2.0812     2.8965     3.6861
   2022      1     17   12.00       384.00  -0.19125E+02   0.00000E+00  -0.22237E-10   0.14215E+01   0.36723E+01   0.00000E+00  -0.56895E-02  -0.19125E+02   0.28938E+02  -0.36747E+01  -0.25263E+02  -0.28224E+01   0.88789E-02   0.00000E+00   0.00000E+00       0.85      17.84     0.0000  0.00   0.55335-321   0.32855-319     0.3921     1.1729     2.0564     2.8818     3.6723
   2022      1     18   12.00       408.00  -0.19602E+02   0.00000E+00  -0.22841E-10   0.14049E+01   0.36590E+01   0.00000E+00  -0.58640E-02  -0.19602E+02   0.17574E+02  -0.40755E+00  -0.17167E+02  -0.28100E+01   0.89231E-02   0.00000E+00   0.00000E+00       0.85      18.55     0.0000  0.00   0.55335-321   0.32855-319     0.3839     1.1510     2.0338     2.8680     3.6590
   2022      1     19   12.00       432.00  -0.20536E+02   0.00000E+00  -0.23498E-10   0.13897E+01   0.36461E+01   0.00000E+00  -0.59929E-02  -0.20536E+02  -0.14643E+01   0.19433E+01  -0.47897E+00  -0.27979E+01   0.90310E-02   0.00000E+00   0.00000E+00       0.85      19.66     0.0000  0.00   0.55335-321   0.32855-319     0.3763     1.1309     2.0131     2.8550     3.6461
   2022      1     20   12.00       456.00  -0.20901E+02   0.00000E+00  -0.24245E-10   0.13756E+01   0.36336E+01   0.00000E+00  -0.62403E-02  -0.20901E+02  -0.93059E+01   0.37065E+01   0.55993E+01  -0.27853E+01   0.10636E-01   0.00000E+00   0.00000E+00       0.85      20.47     0.0000  0.00   0.55335-321   0.32855-319     0.3694     1.1126     1.9941     2.8427     3.6336
   2022      1     21   12.00       480.00  -0.19617E+02   0.00000E+00  -0.24997E-10   0.13626E+01   0.36214E+01   0.00000E+00  -0.60309E-02  -0.19617E+02   0.11022E+02   0.54297E+00  -0.11565E+02  -0.27740E+01   0.11080E-01   0.00000E+00   0.00000E+00       0.85      20.91     0.0000  0.00   0.55335-321   0.32855-319     0.3630     1.0957     1.9764     2.8309     3.6214
   2022      1     22   12.00       504.00  -0.18668E+02   0.00000E+00  -0.25581E-10   0.13502E+01   0.36093E+01   0.00000E+00  -0.56057E-02  -0.18668E+02   0.23254E+02  -0.12389E+01  -0.22015E+02  -0.27646E+01   0.90126E-02   0.00000E+00   0.00000E+00       0.85      21.67     0.0000  0.00   0.55335-321   0.32855-319     0.3567     1.0797     1.9598     2.8192     3.6093
   2022      1     23   12.00       528.00  -0.19809E+02   0.00000E+00  -0.26053E-10   0.13383E+01   0.35972E+01   0.00000E+00  -0.55512E-02  -0.19809E+02   0.88324E+01  -0.34454E+01  -0.53869E+01  -0.27551E+01   0.65524E-02   0.00000E+00   0.00000E+00       0.85      22.82     0.0000  0.00   0.55335-321   0.32855-319     0.3508     1.0647     1.9440     2.8077     3.5972
   2022      1     24   12.00       552.00  -0.20192E+02   0.00000E+00  -0.26662E-10   0.13275E+01   0.35856E+01   0.00000E+00  -0.59206E-02  -0.20192E+02  -0.17507E+01  -0.84224E+01   0.10173E+02  -0.27433E+01   0.78706E-02   0.00000E+00   0.00000E+00       0.85      22.70     0.0000  0.00   0.55335-321   0.32855-319     0.3456     1.0509     1.9294     2.7970     3.5856
   2022      1     25   12.00       576.00  -0.18182E+02   0.00000E+00  -0.27285E-10   0.13174E+01   0.35742E+01   0.00000E+00  -0.55294E-02  -0.18182E+02  -0.56002E+01  -0.81750E+01   0.13775E+02  -0.27331E+01   0.87139E-02   0.00000E+00   0.00000E+00       0.85      21.30     0.0000  0.00   0.55335-321   0.32855-319     0.3406     1.0382     1.9158     2.7867     3.5742
   2022      1     26   12.00       600.00  -0.19593E+02   0.00000E+00  -0.27699E-10   0.13075E+01   0.35627E+01   0.00000E+00  -0.53567E-02  -0.19593E+02  -0.19245E+02   0.20449E-01   0.19225E+02  -0.27243E+01   0.49296E-02   0.00000E+00   0.00000E+00       0.85      20.22     0.0000  0.00   0.55335-321   0.32855-319     0.3358     1.0260     1.9026     2.7762     3.5627
   2022      1     27   12.00       624.00  -0.17770E+02   0.00000E+00  -0.28233E-10   0.12984E+01   0.35517E+01   0.00000E+00  -0.53760E-02  -0.17770E+02  -0.71966E+02   0.16025E+02   0.55941E+02  -0.27135E+01   0.12279E-01   0.00000E+00   0.00000E+00       0.85      20.50     0.0000  0.00   0.55335-321   0.32855-319     0.3314     1.0148     1.8904     2.7664     3.5517
   2022      1     28   12.00       648.00  -0.17544E+02   0.00000E+00  -0.28620E-10   0.12895E+01   0.35407E+01   0.00000E+00  -0.50824E-02  -0.17544E+02  -0.90832E+02   0.19266E+02   0.71566E+02  -0.27048E+01   0.14051E-01   0.00000E+00   0.00000E+00       0.85      21.22     0.0000  0.00   0.55335-321   0.32855-319     0.3272     1.0041     1.8786     2.7566     3.5407
   2022      1     29   12.00       672.00  -0.17465E+02   0.00000E+00  -0.28966E-10   0.12811E+01   0.35298E+01   0.00000E+00  -0.49994E-02  -0.17465E+02  -0.85815E+02   0.18034E+02   0.67781E+02  -0.26955E+01   0.12529E-01   0.00000E+00   0.00000E+00       0.85      20.84     0.0000  0.00   0.55335-321   0.32855-319     0.3232     0.9939     1.8674     2.7471     3.5298
   2022      1     30   12.00       696.00  -0.17531E+02   0.00000E+00  -0.29349E-10   0.12733E+01   0.35191E+01   0.00000E+00  -0.50589E-02  -0.17531E+02  -0.75270E+02   0.14507E+02   0.60763E+02  -0.26856E+01   0.10959E-01   0.00000E+00   0.00000E+00       0.85      19.49     0.0000  0.00   0.55335-321   0.32855-319     0.3195     0.9845     1.8568     2.7379     3.5191
   2022      1     31   12.00       720.00  -0.15694E+02   0.00000E+00  -0.29745E-10   0.12658E+01   0.35087E+01   0.00000E+00  -0.48373E-02  -0.15694E+02  -0.58281E+02   0.13679E+02   0.44601E+02  -0.26761E+01   0.13617E-01   0.00000E+00   0.00000E+00       0.85      18.38     0.0000  0.00   0.55335-321   0.32855-319     0.3161     0.9757     1.8468     2.7290     3.5087
   2022      2      1   12.00       744.00  -0.13182E+02   0.00000E+00  -0.29877E-10   0.12583E+01   0.34981E+01   0.00000E+00  -0.41067E-02  -0.13182E+02  -0.31294E+02   0.14252E+02   0.17042E+02  -0.26692E+01   0.19802E-01   0.00000E+00   0.00000E+00       0.85      19.03     0.0000  0.00   0.55335-321   0.32855-319     0.3126     0.9670     1.8368     2.7197     3.4981
   2022      2      2   12.00       768.00  -0.12066E+02   0.00000E+00  -0.29694E-10   0.12507E+01   0.34873E+01   0.00000E+00  -0.35836E-02  -0.12066E+02  -0.10045E+02   0.16288E+02  -0.62427E+01  -0.26635E+01   0.23003E-01   0.00000E+00   0.00000E+00       0.85      20.99     0.0000  0.00   0.55335-321   0.32855-319     0.3090     0.9582     1.8267     2.7101     3.4873
   2022      2      3   12.00       792.00  -0.12062E+02   0.00000E+00  -0.29425E-10   0.12432E+01   0.34766E+01   0.00000E+00  -0.34341E-02  -0.12062E+02  -0.39543E+01   0.17384E+02  -0.13430E+02  -0.26569E+01   0.22734E-01   0.00000E+00   0.00000E+00       0.85      22.86     0.0000  0.00   0.55335-321   0.32855-319     0.3055     0.9497     1.8168     2.7006     3.4766
   2022      2      4   12.00       816.00  -0.12265E+02   0.00000E+00  -0.29250E-10   0.12362E+01   0.34662E+01   0.00000E+00  -0.35019E-02  -0.12265E+02   0.11827E+01   0.12448E+02  -0.13631E+02  -0.26487E+01   0.17565E-01   0.00000E+00   0.00000E+00       0.85      23.76     0.0000  0.00   0.55335-321   0.32855-319     0.3023     0.9417     1.8073     2.6916     3.4662
   2022      2      5   12.00       840.00  -0.13883E+02   0.00000E+00  -0.29206E-10   0.12296E+01   0.34560E+01   0.00000E+00  -0.36793E-02  -0.13883E+02   0.15075E+00   0.55042E+01  -0.56550E+01  -0.26397E+01   0.73150E-02   0.00000E+00   0.00000E+00       0.85      24.87     0.0000  0.00   0.55335-321   0.32855-319     0.2995     0.9343     1.7984     2.6830     3.4560
   2022      2      6   12.00       864.00  -0.19878E+02   0.00000E+00  -0.29580E-10   0.12240E+01   0.34464E+01   0.00000E+00  -0.48648E-02  -0.19878E+02  -0.14225E+02   0.96617E+00   0.13259E+02  -0.26268E+01   0.59739E-02   0.00000E+00   0.00000E+00       0.85      27.43     0.0000  0.00   0.55335-321   0.32855-319     0.2972     0.9279     1.7905     2.6754     3.4464
   2022      2      7   12.00       888.00  -0.27296E+02   0.00000E+00  -0.30974E-10   0.12200E+01   0.34381E+01   0.00000E+00  -0.69094E-02  -0.27296E+02  -0.27352E+02  -0.47361E+00   0.27826E+02  -0.26069E+01   0.61726E-02   0.00000E+00   0.00000E+00       0.85      30.50     0.0000  0.00   0.55335-321   0.32855-319     0.2960     0.9233     1.7847     2.6700     3.4381
   2022      2      8   12.00       912.00  -0.30814E+02   0.00000E+00  -0.33488E-10   0.12178E+01   0.34310E+01   0.00000E+00  -0.84749E-02  -0.30814E+02  -0.31866E+02  -0.74172E-01   0.31940E+02  -0.25839E+01   0.76548E-02   0.00000E+00   0.00000E+00       0.85      32.23     0.0000  0.00   0.55335-321   0.32855-319     0.2959     0.9208     1.7811     2.6667     3.4310
