 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      1      2   12.00        24.00  -0.16857E+02   0.00000E+00  -0.66903E-10   0.19727E+01   0.33382E+01   0.00000E+00  -0.20912E-01  -0.16856E+02  -0.31814E+02  -0.17409E+01   0.33554E+02  -0.30450E+02   0.97477E-02   0.19860E-08   0.00000E+00       0.85       0.00     0.0000  0.00   0.12351E-04  -0.15557E-03     0.6424     1.9403     3.1986     3.2414     3.3378
   2021      1      3   12.00        48.00  -0.23999E+02   0.00000E+00  -0.69042E-10   0.18535E+01   0.29242E+01   0.00000E+00  -0.39383E-02  -0.23999E+02  -0.53225E+02  -0.26007E+00   0.53485E+02  -0.23016E+02   0.13171E-01   0.11376E-18   0.00000E+00       0.85       0.00     0.0000  0.00   0.50357E-12   0.19489E-10     0.6393     1.9380     2.8185     2.8192     2.9242
   2021      1      4   12.00        72.00  -0.27170E+02   0.00000E+00  -0.70037E-10   0.17833E+01   0.27879E+01   0.00000E+00  -0.39869E-02  -0.27170E+02  -0.55136E+02  -0.32529E+00   0.55461E+02  -0.18936E+02   0.13268E-01   0.85059E-26   0.00000E+00       0.85       0.00     0.0000  0.00  -0.14049E-18   0.21614E-18     0.6367     1.9355     2.6294     2.6289     2.7879
   2021      1      5   12.00        96.00  -0.27902E+02   0.00000E+00  -0.71229E-10   0.17292E+01   0.27127E+01   0.00000E+00  -0.44754E-02  -0.27902E+02  -0.38948E+02  -0.71140E+00   0.39660E+02  -0.17005E+02   0.10358E-01   0.13177E-32   0.00000E+00       0.85       0.00     0.0000  0.00   0.34727E-26  -0.39067E-24     0.6351     1.9229     2.4973     2.4968     2.7127
   2021      1      6   12.00       120.00  -0.25612E+02   0.00000E+00  -0.72694E-10   0.16837E+01   0.26341E+01   0.00000E+00  -0.48718E-02  -0.25612E+02  -0.19389E+02  -0.81566E+00   0.20205E+02  -0.16251E+02   0.70953E-02   0.24363E-39   0.00000E+00       0.85       0.01     0.0000  0.00   0.26821E-32   0.33686E-31     0.6344     1.9029     2.3935     2.3933     2.6341
   2021      1      7   12.00       144.00  -0.22732E+02   0.00000E+00  -0.74288E-10   0.16437E+01   0.25609E+01   0.00000E+00  -0.49240E-02  -0.22732E+02  -0.79214E+01  -0.96623E+00   0.88876E+01  -0.16023E+02   0.33692E-02   0.11094E-46   0.00000E+00       0.85       0.03     0.0000  0.00  -0.33730E-39   0.52459E-38     0.6341     1.8787     2.3073     2.3100     2.5609
   2021      1      8   12.00       168.00  -0.22351E+02   0.00000E+00  -0.75789E-10   0.16079E+01   0.25110E+01   0.00000E+00  -0.46692E-02  -0.22348E+02  -0.71055E+00  -0.12483E+00   0.83538E+00  -0.14903E+02   0.30740E-03   0.68712E-54   0.00000E+00       0.85       0.06     0.0000  0.00  -0.25787E-46  -0.12476E-44     0.6339     1.8524     2.2336     2.2382     2.5110
   2021      1      9   12.00       192.00  -0.22249E+02   0.00000E+00  -0.77086E-10   0.15752E+01   0.24754E+01   0.00000E+00  -0.43647E-02  -0.22249E+02  -0.63823E-01  -0.12690E-01   0.76513E-01  -0.14157E+02   0.67552E-04   0.93370E-61   0.00000E+00       0.85       0.11     0.0000  0.00   0.98942E-53   0.67973E-53     0.6334     1.8246     2.1695     2.1755     2.4754
   2021      1     10   12.00       216.00  -0.22804E+02   0.00000E+00  -0.78188E-10   0.15449E+01   0.24448E+01   0.00000E+00  -0.41043E-02  -0.22804E+02  -0.14555E+00  -0.29236E-01   0.17478E+00  -0.13602E+02   0.10726E-03   0.13212E-67   0.00000E+00       0.85       0.19     0.0000  0.00  -0.39925E-60   0.26698E-58     0.6326     1.7961     2.1130     2.1202     2.4448
   2021      1     11   12.00       240.00  -0.19765E+02   0.00000E+00  -0.79142E-10   0.15167E+01   0.24167E+01   0.00000E+00  -0.39241E-02  -0.19765E+02  -0.17744E+02  -0.29056E+01   0.20650E+02  -0.13171E+02   0.51148E-02   0.18949E-74   0.00000E+00       0.85       0.31     0.0000  0.00  -0.17845E-66  -0.27549E-65     0.6312     1.7674     2.0625     2.0707     2.4167
   2021      1     12   12.00       264.00  -0.21352E+02   0.00000E+00  -0.79972E-10   0.14902E+01   0.23902E+01   0.00000E+00  -0.37170E-02  -0.21352E+02  -0.26324E+02  -0.24568E+01   0.28781E+02  -0.12818E+02   0.72084E-02   0.27264E-81   0.00000E+00       0.85       0.46     0.0000  0.00   0.26208E-73  -0.31868E-72     0.6292     1.7388     2.0168     2.0259     2.3902
   2021      1     13   12.00       288.00  -0.21844E+02   0.00000E+00  -0.80673E-10   0.14650E+01   0.23650E+01   0.00000E+00  -0.35753E-02  -0.21842E+02  -0.23296E+02  -0.16707E+01   0.24966E+02  -0.12515E+02   0.70985E-02   0.39131E-88   0.00000E+00       0.85       0.62     0.0000  0.00   0.13739E-80   0.91845E-79     0.6266     1.7106     1.9751     1.9850     2.3650
