 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2003      1     13   12.00       288.00  -0.20951E+02   0.00000E+00  -0.91371E-07   0.45099E-01   0.15863E+01   0.00000E+00  -0.16759E+01  -0.20951E+02  -0.16603E+02  -0.27190E+01  -0.10946E+03  -0.16636E+02   0.76883E-02   0.11415E-92  -0.22748E-70       0.85       0.54     0.0000  0.00   0.11551E-68   0.25399E-67     0.0063     0.0191     0.0686     0.3359     1.5863
   2003      1     14   12.00       312.00  -0.20946E+02   0.00000E+00  -0.90793E-07   0.46368E-01   0.15674E+01   0.00000E+00  -0.16263E+01  -0.20941E+02  -0.26071E+02  -0.15431E+01  -0.10117E+03  -0.16341E+02   0.96011E-02   0.16713E-99   0.16686E-77       0.85       0.69     0.0000  0.00  -0.22118E-75   0.15817E-74     0.0064     0.0201     0.0709     0.3385     1.5674
   2003      1     15   12.00       336.00  -0.20737E+02   0.00000E+00  -0.90181E-07   0.47571E-01   0.15496E+01   0.00000E+00  -0.16080E+01  -0.20737E+02  -0.33023E+02   0.67882E+00  -0.96438E+02  -0.16062E+02   0.11456E-01   0.24480-106   0.32691E-84       0.85       0.85     0.0000  0.00  -0.35340E-83  -0.69505E-81     0.0066     0.0210     0.0731     0.3407     1.5496
   2003      1     16   12.00       360.00  -0.20590E+02   0.00000E+00  -0.89494E-07   0.48711E-01   0.15326E+01   0.00000E+00  -0.15504E+01  -0.20586E+02  -0.23981E+02   0.16613E+01  -0.10646E+03  -0.15800E+02   0.11348E-01   0.35875-113  -0.67086E-91       0.85       0.98     0.0000  0.00   0.50792E-89   0.32705E-88     0.0067     0.0218     0.0752     0.3427     1.5326
   2003      1     17   12.00       384.00  -0.21504E+02   0.00000E+00  -0.88788E-07   0.49800E-01   0.15166E+01   0.00000E+00  -0.15742E+01  -0.21504E+02  -0.12637E+02   0.58014E+00  -0.11672E+03  -0.15552E+02   0.93171E-02   0.52621-120  -0.58017E-99       0.85       1.14     0.0000  0.00  -0.41144E-96   0.11781E-94     0.0069     0.0227     0.0773     0.3444     1.5166
   2003      1     18   12.00       408.00  -0.22287E+02   0.00000E+00  -0.88176E-07   0.50852E-01   0.15014E+01   0.00000E+00  -0.15884E+01  -0.22285E+02  -0.74485E+01  -0.20016E+01  -0.11933E+03  -0.15315E+02   0.56520E-02   0.77134-127   0.14970-104       0.85       1.36     0.0000  0.00  -0.69661-103  -0.18330-101     0.0070     0.0235     0.0792     0.3460     1.5014
   2003      1     19   12.00       432.00  -0.22985E+02   0.00000E+00  -0.87610E-07   0.51873E-01   0.14869E+01   0.00000E+00  -0.15844E+01  -0.22985E+02  -0.55716E+01  -0.27222E+01  -0.12049E+03  -0.15092E+02   0.27155E-02   0.11308-133  -0.13116-111       0.85       1.68     0.0000  0.00   0.15523-109  -0.77255-109     0.0072     0.0243     0.0811     0.3474     1.4869
   2003      1     20   12.00       456.00  -0.26977E+02   0.00000E+00  -0.87088E-07   0.52865E-01   0.14732E+01   0.00000E+00  -0.16498E+01  -0.26977E+02  -0.24479E+01  -0.94194E+00  -0.12539E+03  -0.14880E+02   0.99136E-03   0.16581-140  -0.19583-118       0.85       2.07     0.0000  0.00   0.73271-119   0.46806-115     0.0074     0.0252     0.0830     0.3487     1.4732
   2003      1     21   12.00       480.00  -0.26668E+02   0.00000E+00  -0.86955E-07   0.53852E-01   0.14603E+01   0.00000E+00  -0.18306E+01  -0.26661E+02  -0.10150E+02  -0.18430E+01  -0.11679E+03  -0.14670E+02   0.26085E-02   0.24271-147   0.46974-125       0.85       2.31     0.0000  0.00  -0.33425-123  -0.28305-122     0.0076     0.0260     0.0848     0.3500     1.4603
   2003      1     22   12.00       504.00  -0.19434E+02   0.00000E+00  -0.88115E-07   0.54897E-01   0.14491E+01   0.00000E+00  -0.38658E+00  -0.19434E+02  -0.93366E+01  -0.89371E+01  -0.11051E+03  -0.14455E+02   0.57452E-02   0.35442-154  -0.29846-133       0.85       2.33     0.0000  0.00   0.31829-130  -0.73202-129     0.0078     0.0268     0.0867     0.3520     1.4491
