 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.16466E+02   0.00000E+00  -0.15645E-10   0.21021E+01   0.40169E+01   0.00000E+00  -0.21394E-01  -0.16466E+02  -0.93731E+02   0.19288E+02   0.74443E+02  -0.28001E+01   0.13037E-01   0.57997E-08   0.00000E+00       0.85      10.40     0.0000  0.00   0.53979E-06  -0.94181E-06     0.6928     1.9177     3.1464     3.5782     4.0169
   2022      1      3   12.00        48.00  -0.16860E+02   0.00000E+00  -0.16029E-10   0.19591E+01   0.39566E+01   0.00000E+00  -0.45844E-02  -0.16860E+02  -0.10438E+03   0.23157E+02   0.81225E+02  -0.30067E+01   0.14433E-01   0.16164E-57   0.00000E+00       0.85       9.05     0.0000  0.00  -0.67262E-49  -0.96459E-47     0.6273     1.8126     2.9110     3.3418     3.9566
   2022      1      4   12.00        72.00  -0.16506E+02   0.00000E+00  -0.16022E-10   0.18710E+01   0.39171E+01   0.00000E+00  -0.46354E-02  -0.16506E+02  -0.99876E+02   0.24371E+02   0.75505E+02  -0.29956E+01   0.14306E-01   0.12775E-99   0.00000E+00       0.85       9.12     0.0000  0.00  -0.96052E-89  -0.12687E-86     0.5886     1.7317     2.7560     3.2408     3.9171
   2022      1      5   12.00        96.00  -0.16567E+02   0.00000E+00  -0.16127E-10   0.18033E+01   0.38861E+01   0.00000E+00  -0.47559E-02  -0.16567E+02  -0.86230E+02   0.19762E+02   0.66468E+02  -0.29826E+01   0.12195E-01   0.90162-142   0.00000E+00       0.85       8.70     0.0000  0.00  -0.92143-129  -0.12347-126     0.5608     1.6604     2.6382     3.1769     3.8861
   2022      1      6   12.00       120.00  -0.17565E+02   0.00000E+00  -0.16358E-10   0.17469E+01   0.38596E+01   0.00000E+00  -0.51057E-02  -0.17565E+02  -0.63046E+02   0.10362E+02   0.52684E+02  -0.29712E+01   0.82311E-02   0.00000E+00   0.00000E+00       0.85       8.48     0.0000  0.00  -0.89474-169  -0.11989-166     0.5382     1.5957     2.5431     3.1288     3.8596
   2022      1      7   12.00       144.00  -0.19496E+02   0.00000E+00  -0.16758E-10   0.16986E+01   0.38363E+01   0.00000E+00  -0.56885E-02  -0.19496E+02  -0.43975E+02   0.14134E+01   0.42562E+02  -0.29574E+01   0.60142E-02   0.00000E+00   0.00000E+00       0.85       8.91     0.0000  0.00  -0.86584-209  -0.11602-206     0.5189     1.5371     2.4640     3.0903     3.8363
   2022      1      8   12.00       168.00  -0.20163E+02   0.00000E+00  -0.17336E-10   0.16565E+01   0.38155E+01   0.00000E+00  -0.60968E-02  -0.20163E+02  -0.45486E+02   0.12767E+01   0.44210E+02  -0.29415E+01   0.98957E-02   0.00000E+00   0.00000E+00       0.85       9.49     0.0000  0.00  -0.83336-249  -0.11167-246     0.5018     1.4842     2.3971     3.0583     3.8155
   2022      1      9   12.00       192.00  -0.20603E+02   0.00000E+00  -0.17995E-10   0.16194E+01   0.37964E+01   0.00000E+00  -0.63010E-02  -0.20603E+02  -0.52070E+02   0.63807E+01   0.45689E+02  -0.29252E+01   0.16664E-01   0.00000E+00   0.00000E+00       0.85       9.64     0.0000  0.00  -0.79894-289  -0.10706-286     0.4862     1.4363     2.3395     3.0309     3.7964
   2022      1     10   12.00       216.00  -0.20758E+02   0.00000E+00  -0.18701E-10   0.15863E+01   0.37787E+01   0.00000E+00  -0.64634E-02  -0.20758E+02  -0.41142E+02   0.55605E+01   0.35581E+02  -0.29091E+01   0.13908E-01   0.00000E+00   0.00000E+00       0.85       9.53     0.0000  0.00   0.55335-321   0.32855-319     0.4718     1.3927     2.2894     3.0069     3.7787
   2022      1     11   12.00       240.00  -0.19629E+02   0.00000E+00  -0.19409E-10   0.15564E+01   0.37620E+01   0.00000E+00  -0.63277E-02  -0.19629E+02  -0.10555E+02   0.13175E+01   0.92379E+01  -0.28939E+01   0.93081E-02   0.00000E+00   0.00000E+00       0.85       9.82     0.0000  0.00   0.55335-321   0.32855-319     0.4583     1.3531     2.2453     2.9853     3.7620
   2022      1     12   12.00       264.00  -0.18086E+02   0.00000E+00  -0.19999E-10   0.15290E+01   0.37458E+01   0.00000E+00  -0.58495E-02  -0.18086E+02   0.21192E+02  -0.50123E+01  -0.16179E+02  -0.28811E+01   0.82009E-02   0.00000E+00   0.00000E+00       0.85      10.57     0.0000  0.00   0.55335-321   0.32855-319     0.4454     1.3165     2.2058     2.9652     3.7458
   2022      1     13   12.00       288.00  -0.17792E+02   0.00000E+00  -0.20444E-10   0.15038E+01   0.37302E+01   0.00000E+00  -0.55217E-02  -0.17792E+02   0.37414E+02  -0.10543E+02  -0.26871E+02  -0.28697E+01   0.94620E-02   0.00000E+00   0.00000E+00       0.85      12.22     0.0000  0.00   0.55335-321   0.32855-319     0.4331     1.2827     2.1701     2.9464     3.7302
   2022      1     14   12.00       312.00  -0.17916E+02   0.00000E+00  -0.20859E-10   0.14805E+01   0.37150E+01   0.00000E+00  -0.55067E-02  -0.17916E+02   0.40939E+02  -0.12325E+02  -0.28614E+02  -0.28578E+01   0.97452E-02   0.00000E+00   0.00000E+00       0.85      14.69     0.0000  0.00   0.55335-321   0.32855-319     0.4216     1.2516     2.1377     2.9287     3.7150
   2022      1     15   12.00       336.00  -0.17758E+02   0.00000E+00  -0.21296E-10   0.14592E+01   0.37003E+01   0.00000E+00  -0.54710E-02  -0.17758E+02   0.42438E+02  -0.91848E+01  -0.33253E+02  -0.28459E+01   0.91462E-02   0.00000E+00   0.00000E+00       0.85      16.84     0.0000  0.00   0.55335-321   0.32855-319     0.4110     1.2231     2.1082     2.9122     3.7003
   2022      1     16   12.00       360.00  -0.18292E+02   0.00000E+00  -0.21702E-10   0.14395E+01   0.36860E+01   0.00000E+00  -0.51678E-02  -0.18292E+02   0.37080E+02  -0.57505E+01  -0.31330E+02  -0.28351E+01   0.85748E-02   0.00000E+00   0.00000E+00       0.85      17.74     0.0000  0.00   0.55335-321   0.32855-319     0.4011     1.1968     2.0811     2.8964     3.6860
   2022      1     17   12.00       384.00  -0.19218E+02   0.00000E+00  -0.21961E-10   0.14209E+01   0.36719E+01   0.00000E+00  -0.47412E-02  -0.19218E+02   0.27701E+02  -0.38843E+01  -0.23816E+02  -0.28262E+01   0.88754E-02   0.00000E+00   0.00000E+00       0.85      17.84     0.0000  0.00   0.55335-321   0.32855-319     0.3916     1.1722     2.0559     2.8810     3.6719
   2022      1     18   12.00       408.00  -0.19715E+02   0.00000E+00  -0.22176E-10   0.14035E+01   0.36580E+01   0.00000E+00  -0.46907E-02  -0.19713E+02   0.16084E+02  -0.66907E+00  -0.15415E+02  -0.28166E+01   0.89222E-02   0.00000E+00   0.00000E+00       0.85      18.55     0.0000  0.00   0.55335-321   0.32855-319     0.3828     1.1494     2.0324     2.8663     3.6580
   2022      1     19   12.00       432.00  -0.20653E+02   0.00000E+00  -0.22399E-10   0.13873E+01   0.36444E+01   0.00000E+00  -0.45357E-02  -0.20653E+02  -0.30159E+01   0.16841E+01   0.13317E+01  -0.28070E+01   0.90302E-02   0.00000E+00   0.00000E+00       0.85      19.66     0.0000  0.00   0.55335-321   0.32855-319     0.3746     1.1283     2.0106     2.8522     3.6444
   2022      1     20   12.00       456.00  -0.21091E+02   0.00000E+00  -0.22627E-10   0.13722E+01   0.36312E+01   0.00000E+00  -0.45496E-02  -0.21089E+02  -0.12203E+02   0.32596E+01   0.89435E+01  -0.27972E+01   0.10631E-01   0.00000E+00   0.00000E+00       0.85      20.47     0.0000  0.00   0.55335-321   0.32855-319     0.3670     1.1087     1.9903     2.8386     3.6312
   2022      1     21   12.00       480.00  -0.19783E+02   0.00000E+00  -0.22783E-10   0.13580E+01   0.36180E+01   0.00000E+00  -0.39706E-02  -0.19783E+02   0.84261E+01   0.97376E-01  -0.85234E+01  -0.27890E+01   0.11078E-01   0.00000E+00   0.00000E+00       0.85      20.91     0.0000  0.00   0.55335-321   0.32855-319     0.3598     1.0904     1.9711     2.8254     3.6180
   2022      1     22   12.00       504.00  -0.18919E+02   0.00000E+00  -0.22712E-10   0.13442E+01   0.36048E+01   0.00000E+00  -0.33805E-02  -0.18917E+02   0.20015E+02  -0.18760E+01  -0.18139E+02  -0.27826E+01   0.90128E-02   0.00000E+00   0.00000E+00       0.85      21.67     0.0000  0.00   0.55335-321   0.32855-319     0.3528     1.0728     1.9527     2.8121     3.6048
   2022      1     23   12.00       528.00  -0.20251E+02   0.00000E+00  -0.22492E-10   0.13309E+01   0.35916E+01   0.00000E+00  -0.29093E-02  -0.20242E+02   0.44942E+01  -0.41825E+01  -0.31176E+00  -0.27765E+01   0.65455E-02   0.00000E+00   0.00000E+00       0.85      22.82     0.0000  0.00   0.55335-321   0.32855-319     0.3461     1.0561     1.9350     2.7988     3.5916
   2022      1     24   12.00       552.00  -0.20548E+02   0.00000E+00  -0.22201E-10   0.13182E+01   0.35786E+01   0.00000E+00  -0.26569E-02  -0.20543E+02  -0.56950E+01  -0.90633E+01   0.14758E+02  -0.27700E+01   0.78624E-02   0.00000E+00   0.00000E+00       0.85      22.70     0.0000  0.00   0.55335-321   0.32855-319     0.3397     1.0403     1.9180     2.7859     3.5786
   2022      1     25   12.00       576.00  -0.18450E+02   0.00000E+00  -0.21913E-10   0.13061E+01   0.35657E+01   0.00000E+00  -0.24579E-02  -0.18446E+02  -0.88944E+01  -0.88245E+01   0.17719E+02  -0.27629E+01   0.87087E-02   0.00000E+00   0.00000E+00       0.85      21.30     0.0000  0.00   0.55335-321   0.32855-319     0.3338     1.0254     1.9019     2.7733     3.5657
   2022      1     26   12.00       600.00  -0.20713E+02   0.00000E+00  -0.21611E-10   0.12946E+01   0.35530E+01   0.00000E+00  -0.22425E-02  -0.20713E+02  -0.20130E+02  -0.30456E+00   0.20435E+02  -0.27559E+01   0.48158E-02   0.00000E+00   0.00000E+00       0.85      20.22     0.0000  0.00   0.55335-321   0.32855-319     0.3282     1.0113     1.8864     2.7610     3.5530
   2022      1     27   12.00       624.00  -0.17943E+02   0.00000E+00  -0.21357E-10   0.12838E+01   0.35405E+01   0.00000E+00  -0.23161E-02  -0.17943E+02  -0.74920E+02   0.15423E+02   0.59497E+02  -0.27479E+01   0.12276E-01   0.00000E+00   0.00000E+00       0.85      20.50     0.0000  0.00   0.55335-321   0.32855-319     0.3230     0.9981     1.8718     2.7491     3.5405
   2022      1     28   12.00       648.00  -0.17693E+02   0.00000E+00  -0.21176E-10   0.12736E+01   0.35283E+01   0.00000E+00  -0.22633E-02  -0.17692E+02  -0.93672E+02   0.18682E+02   0.74991E+02  -0.27396E+01   0.14048E-01   0.00000E+00   0.00000E+00       0.85      21.22     0.0000  0.00   0.55335-321   0.32855-319     0.3183     0.9859     1.8580     2.7377     3.5283
