 1 - depth, m
 2 - temperature, C
 3 - salinity, kg/kg
 4 - density, kg/m**3
 5 - absolute value of velocity, m/s
 6 - turbulent kinetic energy, m**2/s**2
 7 - disspation rate, m**2/s**3
 8 - TKE production by buoyancy, m**2/s**3
 9 - TKE production by shear   , m**2/s**3
 10 - TKE production by seiches (Goudsmit paramaterization)  , m**2/s**3
 11 - TKE turbulent transport  , m**2/s**3
 12 - kinematic heat conductance, m**2/s
   -0.000000    0.000  0.0000E+00  999.868  0.5515E-89 -0.3749E-10  0.2194E-13 -0.1622E-13  0.1036-182  0.0000E+00  0.3836E-13  0.1000E-09
   -0.250000    0.780  0.0000E+00  999.915  0.4259E-91  0.6475E-09  0.1579E-13 -0.1169E-13  0.3932-186  0.0000E+00  0.1941E-13  0.1073E-09
   -0.500000    1.322  0.0000E+00  999.942  0.5156E-93  0.2411E-08  0.3978E-13 -0.2945E-13  0.2381-188  0.0000E+00  0.3919E-13  0.3524E-09
   -0.750000    1.700  0.0000E+00  999.957  0.1555E-94  0.3348E-08  0.5332E-13  0.2162E-12  0.4857-191  0.0000E+00 -0.1995E-12  0.6287E-04
   -1.000000    2.051  0.0000E+00  999.969  0.9384E-95  0.2973E-08  0.4919E-13 -0.3642E-13  0.4921-191  0.0000E+00  0.5067E-13  0.1493E-08
   -1.250000    2.495  0.0000E+00  999.981  0.5798E-97  0.1007E-08  0.3361E-13 -0.2488E-13  0.1080-196  0.0000E+00  0.4892E-13  0.1312E-09
   -1.500000    3.137  0.0000E+00  999.993  0.2374E-99  0.2084E-08  0.2253E-12 -0.1668E-12  0.4722-202  0.0000E+00  0.3901E-12  0.4362E-09
   -1.750000    3.898  0.0000E+00 1000.000  0.1526-102  0.1690E-07  0.2131E-11  0.1200E-11  0.2291-206  0.0000E+00  0.8920E-12  0.3311E-04
   -2.000000    4.014  0.0000E+00 1000.000  0.4468-104  0.2092E-07  0.2618E-11  0.3858E-11  0.2739-208  0.0000E+00 -0.1280E-11  0.7412E-04
   -2.250000    4.016  0.0000E+00 1000.000  0.1566-104  0.2172E-07  0.3019E-11  0.4139E-11  0.5869-209  0.0000E+00 -0.1162E-11  0.6716E-04
   -2.500000    4.019  0.0000E+00 1000.000  0.3383-105  0.2145E-07  0.4044E-11  0.4559E-11  0.4645-210  0.0000E+00 -0.5561E-12  0.4166E-04
