 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.12293E+02   0.00000E+00  -0.70346E-08   0.29107E+01   0.37531E+01   0.00000E+00  -0.99352E-02  -0.12293E+02  -0.13401E+03   0.43415E+02   0.90596E+02  -0.76232E+01   0.14201E-01   0.89753E-09   0.00000E+00       0.85      17.44     0.0000  0.00   0.28763E-05  -0.11213E-04     1.4448     3.6667     3.7080     3.6964     3.7517
   2022      1      3   12.00        48.00  -0.13378E+02   0.00000E+00  -0.71617E-08   0.27365E+01   0.35197E+01   0.00000E+00  -0.62325E-02  -0.13378E+02  -0.14116E+03   0.44224E+02   0.96937E+02  -0.66610E+01   0.15692E-01   0.39177E-30   0.00000E+00       0.85      15.67     0.0000  0.00  -0.76478E-24  -0.90677E-22     1.3924     3.4276     3.4467     3.4461     3.5197
   2022      1      4   12.00        72.00  -0.12647E+02   0.00000E+00  -0.73407E-08   0.26259E+01   0.34310E+01   0.00000E+00  -0.68775E-02  -0.12647E+02  -0.14124E+03   0.48447E+02   0.92791E+02  -0.57399E+01   0.15617E-01   0.82142E-49   0.00000E+00       0.85      16.64     0.0000  0.00  -0.73388E-40  -0.86716E-38     1.3558     3.2771     3.2960     3.2996     3.4310
   2022      1      5   12.00        96.00  -0.12674E+02   0.00000E+00  -0.75340E-08   0.25374E+01   0.34000E+01   0.00000E+00  -0.71599E-02  -0.12674E+02  -0.12345E+03   0.40235E+02   0.83215E+02  -0.51483E+01   0.13091E-01   0.36235E-65   0.00000E+00       0.85      17.00     0.0000  0.00  -0.69658E-56  -0.82310E-54     1.3213     3.1596     3.1819     3.1885     3.4000
   2022      1      6   12.00       120.00  -0.13081E+02   0.00000E+00  -0.77534E-08   0.24609E+01   0.33505E+01   0.00000E+00  -0.79938E-02  -0.13081E+02  -0.97829E+02   0.25969E+02   0.71860E+02  -0.50252E+01   0.89610E-02   0.61275E-82   0.00000E+00       0.85      17.59     0.0000  0.00  -0.66039E-72  -0.78035E-70     1.2877     3.0601     3.0862     3.0990     3.3505
   2022      1      7   12.00       144.00  -0.12048E+02   0.00000E+00  -0.80083E-08   0.23927E+01   0.33289E+01   0.00000E+00  -0.84093E-02  -0.12048E+02  -0.10587E+03   0.29856E+02   0.76012E+02  -0.47763E+01   0.98455E-02   0.34238E-98   0.00000E+00       0.85      18.62     0.0000  0.00  -0.62422E-88  -0.73761E-86     1.2545     2.9731     3.0034     3.0206     3.3289
   2022      1      8   12.00       168.00  -0.10770E+02   0.00000E+00  -0.82551E-08   0.23307E+01   0.33118E+01   0.00000E+00  -0.78785E-02  -0.10770E+02  -0.13880E+03   0.53372E+02   0.85424E+02  -0.45405E+01   0.15289E-01   0.21601-114   0.00000E+00       0.85      17.73     0.0000  0.00  -0.58911-104  -0.69613-102     1.2211     2.8954     2.9307     2.9517     3.3118
   2022      1      9   12.00       192.00  -0.11158E+02   0.00000E+00  -0.84841E-08   0.22736E+01   0.33107E+01   0.00000E+00  -0.81009E-02  -0.11158E+02  -0.14862E+03   0.63912E+02   0.84705E+02  -0.41540E+01   0.18342E-01   0.15009-130   0.00000E+00       0.85      16.67     0.0000  0.00  -0.55677-120  -0.65792-118     1.1879     2.8251     2.8655     2.8891     3.3107
   2022      1     10   12.00       216.00  -0.11806E+02   0.00000E+00  -0.87631E-08   0.22209E+01   0.33187E+01   0.00000E+00  -0.92580E-02  -0.11806E+02  -0.12060E+03   0.49390E+02   0.71214E+02  -0.40321E+01   0.14868E-01   0.22463-147   0.00000E+00       0.85      16.33     0.0000  0.00  -0.52555-136  -0.62104-134     1.1561     2.7604     2.8066     2.8323     3.3187
   2022      1     11   12.00       240.00  -0.10362E+02   0.00000E+00  -0.90723E-08   0.21721E+01   0.33055E+01   0.00000E+00  -0.89474E-02  -0.10361E+02  -0.82350E+02   0.35826E+02   0.46524E+02  -0.41161E+01   0.97188E-02   0.14391-164   0.00000E+00       0.85      14.59     0.0000  0.00  -0.49342-152  -0.58304-150     1.1255     2.7003     2.7525     2.7834     3.3055
   2022      1     12   12.00       264.00  -0.74381E+01   0.00000E+00  -0.93177E-08   0.21260E+01   0.32873E+01   0.00000E+00  -0.72504E-02  -0.74381E+01  -0.67146E+02   0.37847E+02   0.29298E+02  -0.41091E+01   0.83922E-02   0.00000E+00   0.00000E+00       0.85      12.69     0.0000  0.00  -0.46201-168  -0.54589-166     1.0951     2.6440     2.7026     2.7391     3.2873
   2022      1     13   12.00       288.00  -0.56227E+01   0.00000E+00  -0.94441E-08   0.20821E+01   0.32736E+01   0.00000E+00  -0.54995E-02  -0.56227E+01  -0.75644E+02   0.49982E+02   0.25662E+02  -0.40194E+01   0.97612E-02   0.00000E+00   0.00000E+00       0.85      13.83     0.0000  0.00  -0.43398-184  -0.51276-182     1.0644     2.5908     2.6564     2.6974     3.2736
   2022      1     14   12.00       312.00  -0.52939E+01   0.00000E+00  -0.95245E-08   0.20406E+01   0.32623E+01   0.00000E+00  -0.53954E-02  -0.52939E+01  -0.78518E+02   0.53170E+02   0.25348E+02  -0.39580E+01   0.10144E-01   0.00000E+00   0.00000E+00       0.85      16.51     0.0000  0.00  -0.40974-200  -0.48412-198     1.0347     2.5404     2.6135     2.6581     3.2623
   2022      1     15   12.00       336.00  -0.55580E+01   0.00000E+00  -0.96225E-08   0.20013E+01   0.32552E+01   0.00000E+00  -0.59676E-02  -0.55580E+01  -0.69698E+02   0.52259E+02   0.17439E+02  -0.38102E+01   0.98843E-02   0.00000E+00   0.00000E+00       0.85      16.08     0.0000  0.00  -0.38709-216  -0.45736-214     1.0065     2.4923     2.5733     2.6211     3.2552
   2022      1     16   12.00       360.00  -0.66065E+01   0.00000E+00  -0.97871E-08   0.19642E+01   0.32534E+01   0.00000E+00  -0.70092E-02  -0.66065E+01  -0.64743E+02   0.49595E+02   0.15148E+02  -0.37589E+01   0.99685E-02   0.00000E+00   0.00000E+00       0.85      15.80     0.0000  0.00  -0.36523-232  -0.43155-230     0.9803     2.4463     2.5353     2.5862     3.2534
   2022      1     17   12.00       384.00  -0.77707E+01   0.00000E+00  -0.10002E-07   0.19291E+01   0.32426E+01   0.00000E+00  -0.77824E-02  -0.77707E+01  -0.69550E+02   0.51105E+02   0.18445E+02  -0.37800E+01   0.11145E-01   0.00000E+00   0.00000E+00       0.85      17.29     0.0000  0.00  -0.34340-248  -0.40575-246     0.9557     2.4021     2.4993     2.5547     3.2426
   2022      1     18   12.00       408.00  -0.93320E+01   0.00000E+00  -0.10302E-07   0.18960E+01   0.32316E+01   0.00000E+00  -0.93698E-02  -0.93320E+01  -0.77919E+02   0.49559E+02   0.28360E+02  -0.37553E+01   0.12228E-01   0.00000E+00   0.00000E+00       0.85      20.72     0.0000  0.00  -0.32160-264  -0.37999-262     0.9329     2.3599     2.4650     2.5253     3.2316
