Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure
Darro R1,D,20,Sediment,-23.10311394,25098.16412,-75.95190455,633.3156519,26,Gas,2067076,9159204,1335.076602,354.8105636,300,320,4.9,4612.537326,17355.99582,0.046125373,0.173559958,0.643706962,58.1994564,13.01895092,48.9875402,13.66265788,107.1869966,Evac,143.1909665,3.148930919,36.0039699,224.7290181,,,,,
Darro R1,D,30,Sediment,-22.21672777,24932.35303,-85.45324042,556.3331015,27,Gas,1836352,9230745,1347.243424,316.7858618,300,330,4.9,4118.216204,17514.16451,0.041182162,0.175141645,0.574721515,58.72983978,11.62372265,49.43397353,12.19844417,108.1638133,Evac,158.1270422,3.224426364,49.96322886,247.117978,,,,,
Darro R1,D,40,Sediment,-21.53788014,26096.44341,-86.22353581,701.8405898,28,Gas,2082543,9606896,1411.214606,357.3596181,300,340,4.9,4645.675036,18345.78988,0.04645675,0.183457899,0.648331526,61.51850975,13.11248256,51.78124772,13.76081409,113.2997575,Evac,156.1305739,3.473861108,42.83081643,244.1253012,,,,,
Darro R1,D,50,Sediment,-18.58491542,29446.82715,-79.6069537,1441.961984,29,Gas,4278841,10143166,1502.416878,719.3227272,300,350,4.9,9351.195454,19531.41942,0.093511955,0.195314194,1.30501483,65.49425364,26.39387955,55.12770362,27.69889438,120.6219573,Evac,168.6081428,6.020541957,47.98618552,262.8289952,,,,,
Darro R1,D,64,Sediment,-8.648514483,42691.54823,-54.15523329,6589.41885,30,Gas,12021551,13481085,2070.089499,1995.367865,300,364,4.9,25939.78225,26911.16349,0.259397822,0.269111635,3.620050579,90.2405775,73.21539707,75.95713417,76.83544765,166.1977117,Evac,257.6768536,15.33729319,91.47914194,396.3416959,,,,,
Darro R1,D,0,Water,-22.9622725,1684.052319,-57.84070158,6.684047735,31,Gas,21104,2131609,147.9450702,1.036171097,300,0,4.9,13.47022427,1923.285913,0.000134702,0.019232859,0.00187985,6.44930984,0.038019896,5.428501305,0.039899746,11.87781115,Evac,22.92020624,0.144887148,11.04239509,44.44489969,5.53,94.7,8.3,31.2,726.7
Darro R1,D,30,Water,-22.79532516,1663.369023,-75.13618623,69.20100694,32,Gas,46544,1974523,121.738729,5.197786568,300,30,4.9,67.57122539,1582.603477,0.000675712,0.015826035,0.009429966,5.306907364,0.190720726,4.466920379,0.200150691,9.773827743,Evac,20.56473687,0.06306306,10.79090913,40.9140854,5.51,94.6,8.1,31.2,726.7
Darro R1,D,60,Water,-22.92601254,1633.516132,-70.33812606,17.66128918,33,Gas,83093,1963728,119.9378209,11.17667351,300,60,4.9,145.2967557,1559.191671,0.001452968,0.015591917,0.020277025,5.228401101,0.410102119,4.400840231,0.430379143,9.629241332,Evac,20.26508595,0.112349503,10.63584461,40.46491303,5.53,94.6,8,31.2,726.8
Darro R1,D,90,Water,-23.8060158,1779.988342,-70.55189982,14.79999085,34,Gas,91871,1930106,114.3287303,12.61262715,300,90,4.9,163.964153,1486.273493,0.001639642,0.014862735,0.022882171,4.983886275,0.462791108,4.195027658,0.485673279,9.178913932,Evac,23.16103974,0.115699263,13.98212581,44.8059056,5.49,94.3,8,31,726.7
Darro R1,D,120,Water,-23.8880257,1944.386074,-74.24702354,30.84453015,35,Gas,96103,2134004,148.3446233,13.30492105,300,120,4.9,172.9639736,1928.480102,0.00172964,0.019284801,0.024138149,6.466727394,0.488193227,5.443161977,0.512331376,11.90988937,Evac,24.32077247,0.093727793,12.4108831,46.54432807,5.46,87.3,8,30.5,726.8
