,Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure,CH4_uM,CO2_uM,O2_uM
30,Darro R1,D,0,Water,-22.9622725,1684.052319,-57.84070158,6.684047735,31,Gas,21104,2131609,147.9450702,1.036171097,300,0,4.9,13.47022427,1923.285913,0.000134702,0.019232859,0.00187985,6.44930984,0.038019896,5.428501305,0.039899746,11.87781115,Evac,22.92020624,0.144887148,11.04239509,44.44489969,5.53,94.7,8.3,31.2,726.7,0.02204059361524315,7.999576085409764,2.0060288891092135
31,Darro R1,D,30,Water,-22.79532516,1663.369023,-75.13618623,69.20100694,32,Gas,46544,1974523,121.738729,5.197786568,300,30,4.9,67.57122539,1582.603477,0.000675712,0.015826035,0.009429966,5.306907364,0.190720726,4.466920379,0.200150691,9.773827743,Evac,20.56473687,0.06306306,10.79090913,40.9140854,5.51,94.6,8.1,31.2,726.7,0.1105631123814848,6.5825662447560225,2.0039105903878736
32,Darro R1,D,60,Water,-22.92601254,1633.516132,-70.33812606,17.66128918,33,Gas,83093,1963728,119.9378209,11.17667351,300,60,4.9,145.2967557,1559.191671,0.001452968,0.015591917,0.020277025,5.228401101,0.410102119,4.400840231,0.430379143,9.629241332,Evac,20.26508595,0.112349503,10.63584461,40.46491303,5.53,94.6,8.0,31.2,726.8,0.23774116023636133,6.485188877944778,2.0039105903878736
33,Darro R1,D,90,Water,-23.8060158,1779.988342,-70.55189982,14.79999085,34,Gas,91871,1930106,114.3287303,12.61262715,300,90,4.9,163.964153,1486.273493,0.001639642,0.014862735,0.022882171,4.983886275,0.462791108,4.195027658,0.485673279,9.178913932,Evac,23.16103974,0.115699263,13.98212581,44.8059056,5.49,94.3,8.0,31.0,726.7,0.26850304402168307,6.183403542880373,1.9991059642071458
34,Darro R1,D,120,Water,-23.8880257,1944.386074,-74.24702354,30.84453015,35,Gas,96103,2134004,148.3446233,13.30492105,300,120,4.9,172.9639736,1928.480102,0.00172964,0.019284801,0.024138149,6.466727394,0.488193227,5.443161977,0.512331376,11.90988937,Evac,24.32077247,0.093727793,12.4108831,46.54432807,5.46,87.3,8.0,30.5,726.8,0.2838172252714847,8.028027543480755,1.854314454143748
35,Darro R1,D,150,Water,-24.37103108,2326.95811,-73.38785198,23.7992892,36,Gas,101892,2295648,175.3113665,14.25191759,300,150,4.9,185.2749286,2279.047764,0.001852749,0.022790478,0.025856216,7.642277767,0.522941069,6.432644091,0.548797285,14.07492186,Evac,29.24153688,0.089303962,15.16661502,53.92048227,5.35,82.2,8.5,30.0,726.7,0.3046401538829429,9.493200726596998,1.7494031563383767
36,Darro R1,D,180,Water,-24.73175168,2922.257847,-77.0204624,65.39611988,37,Gas,121680,2450155,201.0874584,17.48894773,300,180,4.9,227.3563205,2614.136959,0.002273563,0.02614137,0.031728924,8.765924555,0.641716385,7.378438014,0.673445309,16.14436257,Evac,30.26928051,0.148344315,14.12491794,55.461055,5.24,81.7,8.6,29.8,726.6,0.3741396936320703,10.891657893445112,1.7401265620549442
37,Darro R1,D,210,Water,-24.85847711,2782.197459,-72.81064961,15.3017981,38,Gas,93364,2294824,175.1739002,12.85686032,300,210,4.9,167.1391842,2277.260703,0.001671392,0.022772607,0.023325265,7.636285255,0.471752678,6.427600085,0.495077943,14.06388534,Evac,29.80853456,0.099735879,15.74464922,54.77040354,5.2,85.4,8.6,29.6,726.6,0.2752720057519424,9.490409204841788,1.8203629291779868
38,Darro R1,D,240,Water,-25.50494526,2705.324542,-76.41625416,59.6103819,39,Gas,216063,2507416,210.6401958,32.92863928,300,240,4.9,428.0723107,2738.322545,0.004280723,0.027383225,0.059740032,9.182353187,1.208240065,7.728953563,1.267980097,16.91130675,Evac,33.93223583,0.259483834,17.02092908,60.9517717,5.19,92.1,8.6,29.6,726.5,0.7050191380851679,11.411869295868977,1.9631782877903112
39,Darro R1,D,270,Water,-24.60506655,3483.947227,-76.37058881,94.96619253,40,Gas,415373,2763497,253.3616737,82.59998322,300,270,4.9,1073.799782,3293.701758,0.010737998,0.032937018,0.149855133,11.04469336,3.030814856,9.296519134,3.180669989,20.34121249,Evac,33.28399516,0.545884923,12.94278267,59.98006837,5.12,79.8,8.6,29.4,726.5,1.76996571025831,13.729765049276798,1.7023348094626212
40,Darro R1,D,300,Water,-20.44651665,6180.635386,-67.90137916,596.6313813,41,Gas,1417465,3299576,342.7946544,247.7507669,300,300,4.9,3220.75997,4456.330507,0.0322076,0.044563305,0.449476171,14.94330926,9.090639921,12.57805499,9.540116092,27.52136425,Evac,51.23387292,1.461799152,23.71250867,86.88667377,5.11,67.0,8.9,29.3,726.4,5.3110338876918295,18.578454943218404,1.4298422371463988
44,Cascavel R3,E,0,Water,-26.13688159,6075.150575,-63.03867794,48.36977473,45,Gas,59433,3430638,364.6594641,7.306240256,85,0,4.9,94.98112332,4740.573034,0.000949811,0.04740573,0.01325518,15.8964531,0.268085545,13.38033348,0.281340724,29.27678658,Evac,51.23595108,0.042353624,21.9591645,86.8897889,4.88,41.6,9.2,29.3,728.1,0.15662389294196058,19.763462867465346,0.8877826427655252
45,Cascavel R3,E,25,Water,-26.52980505,5882.278838,-63.61315236,51.8163764,46,Gas,62817,3436576,365.6500887,7.859813634,85,25,4.9,102.1775772,4753.451153,0.001021776,0.047534512,0.014259487,15.939637,0.288397636,13.41668216,0.302657124,29.35631915,Evac,50.92007021,0.038997152,21.56375106,86.41628808,4.87,30.1,8.9,26.1,728.1,0.17077092643120562,19.895931164472184,0.6506499337153167
46,Cascavel R3,E,50,Water,-26.43680243,7984.908258,-64.71417523,44.91195718,47,Gas,53859,4210957,494.8385126,6.394414602,85,50,4.9,83.12738982,6432.900664,0.000831274,0.064329007,0.011600921,21.57129591,0.234628217,18.15695181,0.246229137,39.72824772,Evac,60.04214004,0.042346912,20.31389231,100.0901379,4.82,29.8,8.7,25.9,728.1,0.1390510542361275,26.93213383823386,0.6446900956486935
