"Data Hora, GMT-03:00","Temp., °F (LGR S/N: 10600576, SEN S/N: 10600576)"
03/20/18 11H0min0s,84.474
03/20/18 11H30min0s,87.004
03/20/18 12H0min0s,89.017
03/20/18 12H30min0s,90.867
03/20/18 13H0min0s,91.425
03/20/18 13H30min0s,91.987
03/20/18 14H0min0s,95.4
03/20/18 14H30min0s,88.65
03/20/18 15H0min0s,91.053
03/20/18 15H30min0s,91.425
03/20/18 16H0min0s,88.65
03/20/18 16H30min0s,91.24
03/20/18 17H0min0s,90.124
03/20/18 17H30min0s,88.099
03/20/18 18H0min0s,87.368
03/20/18 18H30min0s,87.186
03/20/18 19H0min0s,87.004
03/20/18 19H30min0s,86.823
03/20/18 20H0min0s,86.641
03/20/18 20H30min0s,86.641
03/20/18 21H0min0s,86.459
03/20/18 21H30min0s,86.459
03/20/18 22H0min0s,86.097
03/20/18 22H30min0s,86.097
03/20/18 23H0min0s,85.915
03/20/18 23H30min0s,85.735
03/21/18 00H0min0s,85.554
03/21/18 00H30min0s,85.554
03/21/18 01H0min0s,85.374
03/21/18 01H30min0s,85.194
03/21/18 02H0min0s,85.194
03/21/18 02H30min0s,85.014
03/21/18 03H0min0s,84.834
03/21/18 03H30min0s,84.834
03/21/18 04H0min0s,84.654
03/21/18 04H30min0s,84.474
03/21/18 05H0min0s,84.474
03/21/18 05H30min0s,84.295
03/21/18 06H0min0s,84.115
03/21/18 06H30min0s,84.115
03/21/18 07H0min0s,84.115
03/21/18 07H30min0s,84.295
03/21/18 08H0min0s,84.295
03/21/18 08H30min0s,85.014
03/21/18 09H0min0s,86.641
03/21/18 09H30min0s,86.823
03/21/18 10H0min0s,86.823
03/21/18 10H30min0s,87.368
03/21/18 11H0min0s,88.466
03/21/18 11H30min0s,88.65
03/21/18 12H0min0s,89.755
03/21/18 12H30min0s,90.309
03/21/18 13H0min0s,91.24
03/21/18 13H30min0s,90.495
03/21/18 14H0min0s,96.555
03/21/18 14H30min0s,96.748
03/21/18 15H0min0s,93.873
03/21/18 15H30min0s,95.016
03/21/18 16H0min0s,93.493
03/21/18 16H30min0s,89.755
03/21/18 17H0min0s,90.309
03/21/18 17H30min0s,89.755
03/21/18 18H0min0s,89.017
03/21/18 18H30min0s,88.65
03/21/18 19H0min0s,88.466
03/21/18 19H30min0s,88.282
03/21/18 20H0min0s,88.099
03/21/18 20H30min0s,87.915
03/21/18 21H0min0s,87.552
03/21/18 21H30min0s,87.368
03/21/18 22H0min0s,87.004
03/21/18 22H30min0s,87.004
03/21/18 23H0min0s,86.823
03/21/18 23H30min0s,86.641
03/22/18 00H0min0s,86.459
03/22/18 00H30min0s,86.459
03/22/18 01H0min0s,86.277
03/22/18 01H30min0s,86.097
03/22/18 02H0min0s,85.915
03/22/18 02H30min0s,85.735
03/22/18 03H0min0s,85.554
03/22/18 03H30min0s,85.374
03/22/18 04H0min0s,85.374
03/22/18 04H30min0s,85.194
03/22/18 05H0min0s,85.194
03/22/18 05H30min0s,85.014
03/22/18 06H0min0s,84.654
03/22/18 06H30min0s,84.654
03/22/18 07H0min0s,84.834
03/22/18 07H30min0s,85.014
03/22/18 08H0min0s,85.194
03/22/18 08H30min0s,85.735
03/22/18 09H0min0s,85.915
03/22/18 09H30min0s,86.641
03/22/18 10H0min0s,86.459
03/22/18 10H30min0s,86.277
03/22/18 11H0min0s,86.459
03/22/18 11H30min0s,86.097
03/22/18 12H0min0s,85.374
03/22/18 12H30min0s,84.654
03/22/18 13H0min0s,84.654
03/22/18 13H30min0s,84.654
03/22/18 14H0min0s,85.554
03/22/18 14H30min0s,86.097
03/22/18 15H0min0s,85.915
03/22/18 15H30min0s,86.459
03/22/18 16H0min0s,86.459
03/22/18 16H30min0s,86.097
03/22/18 17H0min0s,85.735
03/22/18 17H30min0s,85.735
03/22/18 18H0min0s,85.374
03/22/18 18H30min0s,84.834
03/22/18 19H0min0s,84.834
03/22/18 19H30min0s,84.654
