 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.62517E+00   0.00000E+00   0.41654E+00   0.44742E+01   0.60285E+01   0.00000E+00   0.20863E+00   0.00000E+00  -0.20380E+02  -0.14210E+02   0.35390E+02  -0.16557E+05   0.15447E-02   0.30202E-06   0.35285E-03       0.36     220.30     0.0000  0.00   0.18523E-01  -0.10831E+00     4.6582     4.9756     5.1378     5.3125     5.8343
   2021      7      3   12.00        48.00   0.11587E+02   0.00000E+00   0.11587E+02   0.11656E+02   0.12671E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77313E+01   0.29835E+02  -0.71545E+02  -0.12122E+04   0.44332E-02   0.43776E-05   0.21309E-02       0.16     156.07     0.0000  0.00   0.82165E-01  -0.43804E+00    11.6496    11.6729    11.7190    11.8748    12.2790
   2021      7      4   12.00        72.00   0.14768E+02   0.00000E+00   0.14768E+02   0.14864E+02   0.15684E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23147E+02   0.36589E+02  -0.10861E+03  -0.89010E+03   0.25657E-02   0.24649E-05   0.31323E-03       0.16      37.51     0.0000  0.00   0.29365E-01   0.45536E-01    14.8647    14.8792    14.9099    15.0371    15.3340
   2021      7      5   12.00        96.00   0.16345E+02   0.00000E+00   0.16345E+02   0.16518E+02   0.17244E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35220E+02   0.57833E+02  -0.14301E+03  -0.75638E+03   0.34629E-02   0.36536E-05   0.14973E-02       0.16      62.86     0.0000  0.00   0.28622E-01   0.12148E+01    16.5231    16.5426    16.5738    16.6868    16.9290
   2021      7      6   12.00       120.00   0.16306E+02   0.00000E+00   0.16306E+02   0.16681E+02   0.17395E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.55512E+02   0.98778E+02  -0.20238E+03  -0.78179E+03   0.66854E-02   0.13927E-04   0.16968E-01       0.16     132.09     0.0000  0.00   0.11646E+00   0.41184E+01    16.6964    16.7277    16.7677    16.8732    17.1043
   2021      7      7   12.00       144.00   0.17425E+02   0.00000E+00   0.17425E+02   0.17788E+02   0.18452E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56937E+02   0.10761E+03  -0.22635E+03  -0.70041E+03   0.54055E-02   0.88722E-05   0.86202E-02       0.16     188.92     0.0000  0.00   0.17403E-01   0.29813E+01    17.8067    17.8372    17.8713    17.9691    18.1805
   2021      7      8   12.00       168.00   0.17119E+02   0.00000E+00   0.17119E+02   0.17544E+02   0.18216E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.63201E+02   0.10852E+03  -0.23418E+03  -0.70939E+03   0.55100E-02   0.74498E-05   0.70979E-02       0.16     123.20     0.0000  0.00  -0.66655E-01   0.28326E+01    17.5644    17.5997    17.6371    17.7357    17.9368
   2021      7      9   12.00       192.00   0.16922E+02   0.00000E+00   0.16922E+02   0.17163E+02   0.17814E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43205E+02   0.72183E+02  -0.16977E+03  -0.71841E+03   0.39380E-02   0.43955E-05   0.23139E-02       0.16      68.90     0.0000  0.00   0.34498E-01   0.10221E+01    17.1734    17.1968    17.2275    17.3257    17.5495
   2021      7     10   12.00       216.00   0.16948E+02   0.00000E+00   0.16948E+02   0.17250E+02   0.17918E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38642E+02   0.80788E+02  -0.17735E+03  -0.71299E+03   0.47605E-02   0.55646E-05   0.42017E-02       0.16      85.89     0.0000  0.00   0.47337E-01  -0.19448E+01    17.2630    17.2904    17.3242    17.4251    17.6447
   2021      7     11   12.00       240.00   0.17581E+02   0.00000E+00   0.17581E+02   0.17825E+02   0.18467E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32143E+02   0.75716E+02  -0.17103E+03  -0.66807E+03   0.40109E-02   0.50805E-05   0.29629E-02       0.16     108.45     0.0000  0.00   0.93092E-02  -0.18817E+01    17.8351    17.8583    17.8880    17.9879    18.1993
