 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.21096E+02   0.00000E+00  -0.86374E-08   0.29236E+01   0.37540E+01   0.00000E+00  -0.35634E-01  -0.21096E+02  -0.62059E+02   0.35834E+01   0.58475E+02  -0.76385E+01   0.14502E-01   0.92595E-09   0.00000E+00       0.85      17.44     0.0000  0.00   0.28201E-05  -0.10857E-04     1.4755     3.6715     3.7089     3.6974     3.7527
   2022      1      3   12.00        48.00  -0.22304E+02   0.00000E+00  -0.89922E-08   0.27498E+01   0.35203E+01   0.00000E+00  -0.94411E-02  -0.22304E+02  -0.66165E+02   0.42761E+01   0.61889E+02  -0.66674E+01   0.16017E-01   0.30180E-30   0.00000E+00       0.85      15.67     0.0000  0.00  -0.71036E-24  -0.84155E-22     1.4230     3.4325     3.4488     3.4481     3.5203
   2022      1      4   12.00        72.00  -0.21489E+02   0.00000E+00  -0.92743E-08   0.26391E+01   0.34309E+01   0.00000E+00  -0.93534E-02  -0.21489E+02  -0.64011E+02   0.65452E+01   0.57466E+02  -0.57436E+01   0.15939E-01   0.84522E-49   0.00000E+00       0.85      16.64     0.0000  0.00  -0.67262E-40  -0.79479E-38     1.3847     3.2824     3.2988     3.3023     3.4309
   2022      1      5   12.00        96.00  -0.21316E+02   0.00000E+00  -0.95507E-08   0.25504E+01   0.34007E+01   0.00000E+00  -0.92786E-02  -0.21316E+02  -0.53746E+02   0.46937E+01   0.49052E+02  -0.51360E+01   0.13379E-01   0.35684E-65   0.00000E+00       0.85      17.00     0.0000  0.00  -0.63254E-56  -0.74743E-54     1.3488     3.1656     3.1850     3.1915     3.4007
   2022      1      6   12.00       120.00  -0.21274E+02   0.00000E+00  -0.98370E-08   0.24737E+01   0.33486E+01   0.00000E+00  -0.95174E-02  -0.21274E+02  -0.42174E+02   0.22293E+01   0.39945E+02  -0.50653E+01   0.92153E-02   0.60672E-82   0.00000E+00       0.85      17.59     0.0000  0.00  -0.59472E-72  -0.70275E-70     1.3136     3.0665     3.0898     3.1025     3.3486
   2022      1      7   12.00       144.00  -0.20226E+02   0.00000E+00  -0.10133E-07   0.24051E+01   0.33293E+01   0.00000E+00  -0.93897E-02  -0.20226E+02  -0.44551E+02   0.15786E+01   0.42973E+02  -0.47541E+01   0.10103E-01   0.33254E-98   0.00000E+00       0.85      18.62     0.0000  0.00  -0.55847E-88  -0.65991E-86     1.2787     2.9800     3.0073     3.0242     3.3293
   2022      1      8   12.00       168.00  -0.19362E+02   0.00000E+00  -0.10412E-07   0.23428E+01   0.33111E+01   0.00000E+00  -0.89983E-02  -0.19362E+02  -0.56506E+02   0.60703E+01   0.50436E+02  -0.45607E+01   0.15602E-01   0.21149-114   0.00000E+00       0.85      17.73     0.0000  0.00  -0.52445-104  -0.61972-102     1.2437     2.9027     2.9347     2.9556     3.3111
   2022      1      9   12.00       192.00  -0.20014E+02   0.00000E+00  -0.10679E-07   0.22854E+01   0.33092E+01   0.00000E+00  -0.89888E-02  -0.20014E+02  -0.58988E+02   0.94975E+01   0.49491E+02  -0.41670E+01   0.18704E-01   0.14218-130   0.00000E+00       0.85      16.67     0.0000  0.00  -0.49295-120  -0.58251-118     1.2092     2.8327     2.8698     2.8932     3.3092
   2022      1     10   12.00       216.00  -0.20548E+02   0.00000E+00  -0.10974E-07   0.22324E+01   0.33184E+01   0.00000E+00  -0.95000E-02  -0.20548E+02  -0.44180E+02   0.66593E+01   0.37520E+02  -0.40176E+01   0.15178E-01   0.24441-147   0.00000E+00       0.85      16.33     0.0000  0.00  -0.46312-136  -0.54726-134     1.1758     2.7684     2.8110     2.8364     3.3184
   2022      1     11   12.00       240.00  -0.18443E+02   0.00000E+00  -0.11288E-07   0.21831E+01   0.33055E+01   0.00000E+00  -0.92075E-02  -0.18443E+02  -0.19751E+02   0.43690E+01   0.15382E+02  -0.41105E+01   0.99733E-02   0.13284-164   0.00000E+00       0.85      14.59     0.0000  0.00  -0.43354-152  -0.51229-150     1.1438     2.7085     2.7570     2.7876     3.3055
   2022      1     12   12.00       264.00  -0.14921E+02   0.00000E+00  -0.11540E-07   0.21367E+01   0.32881E+01   0.00000E+00  -0.78401E-02  -0.14921E+02  -0.25222E+01   0.41561E+01  -0.16339E+01  -0.41027E+01   0.86398E-02   0.00000E+00   0.00000E+00       0.85      12.69     0.0000  0.00  -0.40475-168  -0.47823-166     1.1122     2.6524     2.7072     2.7433     3.2881
   2022      1     13   12.00       288.00  -0.13044E+02   0.00000E+00  -0.11687E-07   0.20927E+01   0.32737E+01   0.00000E+00  -0.65019E-02  -0.13044E+02  -0.13159E+00   0.61726E+01  -0.60410E+01  -0.40231E+01   0.10007E-01   0.00000E+00   0.00000E+00       0.85      13.83     0.0000  0.00  -0.37862-184  -0.44735-182     1.0808     2.5995     2.6611     2.7018     3.2737
   2022      1     14   12.00       312.00  -0.12717E+02   0.00000E+00  -0.11775E-07   0.20509E+01   0.32631E+01   0.00000E+00  -0.60577E-02  -0.12717E+02  -0.31883E+00   0.66900E+01  -0.63711E+01  -0.39482E+01   0.10391E-01   0.00000E+00   0.00000E+00       0.85      16.51     0.0000  0.00  -0.35565-200  -0.42021-198     1.0503     2.5494     2.6182     2.6625     3.2631
   2022      1     15   12.00       336.00  -0.13019E+02   0.00000E+00  -0.11857E-07   0.20114E+01   0.32551E+01   0.00000E+00  -0.60233E-02  -0.13019E+02   0.61330E+01   0.75739E+01  -0.13707E+02  -0.38205E+01   0.10127E-01   0.00000E+00   0.00000E+00       0.85      16.08     0.0000  0.00  -0.33466-216  -0.39541-214     1.0211     2.5015     2.5781     2.6256     3.2551
   2022      1     16   12.00       360.00  -0.14217E+02   0.00000E+00  -0.11965E-07   0.19738E+01   0.32536E+01   0.00000E+00  -0.64338E-02  -0.14217E+02   0.88887E+01   0.76070E+01  -0.16496E+02  -0.37492E+01   0.10211E-01   0.00000E+00   0.00000E+00       0.85      15.80     0.0000  0.00  -0.31520-232  -0.37243-230     0.9936     2.4556     2.5401     2.5906     3.2536
   2022      1     17   12.00       384.00  -0.15695E+02   0.00000E+00  -0.12125E-07   0.19383E+01   0.32433E+01   0.00000E+00  -0.71321E-02  -0.15695E+02   0.57938E+01   0.77042E+01  -0.13498E+02  -0.37740E+01   0.11397E-01   0.00000E+00   0.00000E+00       0.85      17.29     0.0000  0.00  -0.29646-248  -0.35028-246     0.9678     2.4115     2.5041     2.5590     3.2433
   2022      1     18   12.00       408.00  -0.17590E+02   0.00000E+00  -0.12347E-07   0.19046E+01   0.32317E+01   0.00000E+00  -0.78749E-02  -0.17590E+02  -0.31401E+01   0.68919E+01  -0.37517E+01  -0.37570E+01   0.12495E-01   0.00000E+00   0.00000E+00       0.85      20.72     0.0000  0.00  -0.27775-264  -0.32818-262     0.9437     2.3691     2.4699     2.5295     3.2317
   2022      1     19   12.00       432.00  -0.20424E+02   0.00000E+00  -0.12648E-07   0.18727E+01   0.32215E+01   0.00000E+00  -0.89833E-02  -0.20424E+02  -0.20263E+02   0.38790E+01   0.16384E+02  -0.37213E+01   0.12882E-01   0.00000E+00   0.00000E+00       0.85      24.78     0.0000  0.00  -0.25922-280  -0.30628-278     0.9213     2.3285     2.4373     2.5014     3.2215
