 1 - depth, m
 2 - temperature, C
 3 - salinity, kg/kg
 4 - density, kg/m**3
 5 - absolute value of velocity, m/s
 6 - turbulent kinetic energy, m**2/s**2
 7 - disspation rate, m**2/s**3
 8 - TKE production by buoyancy, m**2/s**3
 9 - TKE production by shear   , m**2/s**3
 10 - TKE production by seiches (Goudsmit paramaterization)  , m**2/s**3
 11 - TKE turbulent transport  , m**2/s**3
 12 - kinematic heat conductance, m**2/s
   -0.000000   10.393  0.6679E-10  999.679  0.3437E+00  0.1774E-02  0.3953E-01  0.1782E-07  0.5590E-03  0.0000E+00  0.2884E+00  0.4455E-05
   -0.250000   10.482  0.6679E-10  999.671  0.5009E-01  0.3423E-03  0.3824E-04  0.1343E-07  0.1320E-04  0.0000E+00  0.1246E+00  0.4507E-03
   -0.500000   10.496  0.6679E-10  999.670  0.3355E-01  0.1760E-03  0.1279E-04  0.1242E-07  0.3748E-05  0.0000E+00  0.7251E-05  0.5938E-03
   -0.750000   10.503  0.6679E-10  999.669  0.2563E-01  0.1124E-03  0.5367E-05  0.1156E-07  0.2546E-05  0.0000E+00  0.3611E-04  0.8060E-03
   -1.000000   10.507  0.6679E-10  999.669  0.1935E-01  0.8453E-04  0.2780E-05  0.1084E-07  0.1483E-05  0.0000E+00  0.1280E-05  0.1043E-02
   -1.250000   10.511  0.6680E-10  999.668  0.1319E-01  0.6658E-04  0.1568E-05  0.1031E-07  0.1050E-05  0.0000E+00  0.5077E-06  0.1316E-02
   -1.500000   10.513  0.6680E-10  999.668  0.1032E-01  0.5396E-04  0.9130E-06  0.9859E-08  0.5307E-06  0.0000E+00  0.3725E-06  0.1526E-02
   -1.750000   10.514  0.6680E-10  999.668  0.8284E-02  0.4597E-04  0.6154E-06  0.9447E-08  0.4062E-06  0.0000E+00  0.1998E-06  0.1643E-02
   -2.000000   10.516  0.6680E-10  999.668  0.6443E-02  0.4012E-04  0.4768E-06  0.9049E-08  0.3828E-06  0.0000E+00  0.8499E-07  0.1636E-02
   -2.250000   10.518  0.6680E-10  999.668  0.4666E-02  0.3403E-04  0.4094E-06  0.8779E-08  0.2624E-06  0.0000E+00  0.1382E-06  0.1516E-02
   -2.500000   10.520  0.6680E-10  999.668  0.3401E-02  0.2621E-04  0.4118E-06  0.8581E-08  0.1770E-06  0.0000E+00  0.2262E-06  0.1032E-02
