 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.14225E+00   0.00000E+00   0.00000E+00   0.43326E+01   0.48446E+01   0.00000E+00   0.14225E+00   0.00000E+00  -0.25377E+02  -0.18710E+02   0.44088E+02  -0.16171E+05   0.16716E-02   0.10029E-08   0.00000E+00       0.40     220.30     0.0000  0.00   0.33040E-06  -0.28890E-06     4.4881     4.5520     4.5922     4.6164     4.8006
   2021      7      3   12.00        48.00   0.59989E+00   0.00000E+00   0.00000E+00   0.21017E+01   0.43582E+01   0.00000E+00   0.59989E+00   0.00000E+00  -0.72668E+02  -0.58417E+02   0.13108E+03  -0.12395E+03   0.52703E-02   0.16906E-08   0.10933E-02       0.40     156.07     0.0000  0.00   0.46934E-01  -0.23114E+00     1.9222     3.3129     4.1568     4.1793     4.3582
   2021      7      4   12.00        72.00   0.16970E+01   0.00000E+00   0.16560E+01   0.18147E+01   0.42730E+01   0.00000E+00   0.41025E-01   0.00000E+00  -0.14027E+02  -0.12712E+02   0.41673E+02  -0.68458E+02   0.15113E-02   0.17822E-14   0.21462E-03       0.18      37.51     0.0000  0.00   0.19208E-01  -0.47438E-01     1.5885     1.5969     3.5177     4.0722     4.2730
   2021      7      5   12.00        96.00   0.45472E+01   0.00000E+00   0.45472E+01   0.44582E+01   0.48163E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.18243E+02  -0.18836E+02   0.46935E+02  -0.61730E+02   0.30500E-02   0.12441E-09   0.13744E-02       0.16      62.86     0.0000  0.00   0.26564E-01   0.11278E+01     4.4356     4.4151     4.5847     4.5125     4.5936
   2021      7      6   12.00       120.00   0.77500E+01   0.00000E+00   0.77500E+01   0.76284E+01   0.77708E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.18135E+02  -0.12287E+02   0.26420E+02  -0.45733E+02   0.66432E-02   0.18979E-04   0.16891E-01       0.16     132.09     0.0000  0.00   0.11766E+00   0.41593E+01     7.6227     7.6112     7.5929     7.5656     7.5677
   2021      7      7   12.00       144.00   0.10912E+02   0.00000E+00   0.10912E+02   0.10929E+02   0.10976E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.81072E+01   0.24646E+02  -0.60216E+02  -0.61527E+02   0.53723E-02   0.10646E-04   0.87709E-02       0.16     188.92     0.0000  0.00   0.17361E-01   0.30054E+01    10.9289    10.9335    10.9334    10.9364    10.9661
   2021      7      8   12.00       168.00   0.11380E+02   0.00000E+00   0.11380E+02   0.11474E+02   0.11527E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19076E+02   0.33009E+02  -0.84258E+02  -0.53079E+02   0.55070E-02   0.74999E-05   0.68380E-02       0.16     123.20     0.0000  0.00  -0.66647E-01   0.28091E+01    11.4779    11.4877    11.4950    11.4996    11.5218
   2021      7      9   12.00       192.00   0.10887E+02   0.00000E+00   0.10887E+02   0.10931E+02   0.10969E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87454E+01   0.13938E+02  -0.45335E+02  -0.37296E+02   0.39064E-02   0.19525E-05   0.21762E-02       0.16      68.90     0.0000  0.00   0.35262E-01   0.10285E+01    10.9325    10.9393    10.9440    10.9466    10.9684
   2021      7     10   12.00       216.00   0.10904E+02   0.00000E+00   0.10904E+02   0.10928E+02   0.10961E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.19157E+01   0.11900E+02  -0.36119E+02  -0.40361E+02   0.47267E-02   0.28622E-05   0.40345E-02       0.16      85.89     0.0000  0.00   0.47734E-01  -0.19552E+01    10.9280    10.9321    10.9347    10.9375    10.9604
   2021      7     11   12.00       240.00   0.11683E+02   0.00000E+00   0.11683E+02   0.11712E+02   0.11748E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.16279E+01   0.16249E+02  -0.46539E+02  -0.42675E+02   0.39581E-02   0.24086E-05   0.29740E-02       0.16     108.45     0.0000  0.00   0.91893E-02  -0.19202E+01    11.7120    11.7179    11.7210    11.7239    11.7473
   2021      7     12   12.00       264.00   0.12709E+02   0.00000E+00   0.12709E+02   0.12726E+02   0.12764E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.23162E+00   0.10710E+02  -0.50957E+02  -0.52279E+02   0.16129E-02   0.18364E-06   0.47630E-04       0.16     153.05     0.0000  0.00   0.85925E-02   0.33029E-01    12.7266    12.7304    12.7320    12.7351    12.7640
