 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2018      7     13   12.00       288.00   0.17195E+02   0.00000E+00   0.17195E+02   0.17269E+02   0.17311E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16100E+02   0.39637E+02  -0.10370E+03  -0.58509E+02   0.22679E-02   0.72079E-05   0.30171E-03       0.16     150.06     0.0000  0.00   0.15762E-01  -0.31239E+00    17.2557    17.2734    17.2788    17.2852    17.3082
   2018      7     14   12.00       312.00   0.16942E+02   0.00000E+00   0.16942E+02   0.17053E+02   0.17112E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23293E+02   0.50524E+02  -0.14229E+03  -0.71015E+02   0.25167E-02   0.11059E-04   0.79505E-03       0.16     168.32     0.0000  0.00   0.82740E-02   0.30896E+00    17.0352    17.0595    17.0666    17.0762    17.1048
   2018      7     15   12.00       336.00   0.15566E+02   0.00000E+00   0.15566E+02   0.15919E+02   0.16045E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43356E+02   0.96615E+02  -0.22155E+03  -0.94364E+02   0.53705E-02   0.46276E-04   0.71675E-02       0.16     183.54     0.0000  0.00   0.39389E-01   0.30112E+01    15.8621    15.9314    15.9700    15.9907    16.0275
   2018      7     16   12.00       360.00   0.13924E+02   0.00000E+00   0.13924E+02   0.14311E+02   0.14421E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41168E+02   0.99409E+02  -0.21009E+03  -0.94809E+02   0.66820E-02   0.11368E-03   0.18680E-01       0.16     167.31     0.0000  0.00   0.10434E+00   0.43096E+01    14.2561    14.3330    14.3534    14.3670    14.4044
   2018      7     17   12.00       384.00   0.12763E+02   0.00000E+00   0.12763E+02   0.13056E+02   0.13151E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38624E+02   0.78135E+02  -0.16320E+03  -0.81424E+02   0.88677E-02   0.33177E-03   0.53035E-01       0.16     138.71     0.0000  0.00   0.26042E+00   0.55111E+01    13.0139    13.0724    13.0889    13.1016    13.1361
   2018      7     18   12.00       408.00   0.11959E+02   0.00000E+00   0.11959E+02   0.12236E+02   0.12358E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39684E+02   0.76408E+02  -0.15202E+03  -0.79778E+02   0.98028E-02   0.39722E-03   0.76376E-01       0.16     138.18     0.0000  0.00   0.27247E+00   0.75927E+01    12.1910    12.2380    12.2765    12.3091    12.3435
   2018      7     19   12.00       432.00   0.11442E+02   0.00000E+00   0.11442E+02   0.11688E+02   0.11773E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34688E+02   0.67885E+02  -0.14310E+03  -0.86226E+02   0.80911E-02   0.27325E-03   0.42629E-01       0.16     162.32     0.0000  0.00   0.12276E+00   0.67068E+01    11.6547    11.6979    11.7148    11.7279    11.7642
   2018      7     20   12.00       456.00   0.11721E+02   0.00000E+00   0.11721E+02   0.11878E+02   0.11952E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23732E+02   0.50712E+02  -0.12193E+03  -0.78590E+02   0.49789E-02   0.35882E-04   0.54798E-02       0.17     163.01     0.0000  0.00   0.87593E-01   0.17914E+01    11.8502    11.8883    11.8987    11.9104    11.9451
   2018      7     21   12.00       480.00   0.12012E+02   0.00000E+00   0.12012E+02   0.12119E+02   0.12175E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16607E+02   0.38374E+02  -0.99835E+02  -0.65346E+02   0.35856E-02   0.16711E-04   0.21251E-02       0.17     137.45     0.0000  0.00   0.22741E-01  -0.10363E+01    12.0980    12.1254    12.1338    12.1431    12.1720
   2018      7     22   12.00       504.00   0.12126E+02   0.00000E+00   0.12126E+02   0.12225E+02   0.12275E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18090E+02   0.35992E+02  -0.88569E+02  -0.55000E+02   0.47169E-02   0.67754E-04   0.75986E-02       0.17     111.38     0.0000  0.00   0.73599E-01   0.11695E+00    12.2075    12.2310    12.2386    12.2465    12.2708
   2018      7     23   12.00       528.00   0.11894E+02   0.00000E+00   0.11894E+02   0.12067E+02   0.12138E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21320E+02   0.48430E+02  -0.99533E+02  -0.59390E+02   0.79679E-02   0.21558E-03   0.35403E-01       0.17     119.50     0.0000  0.00   0.19669E+00   0.51218E+01    12.0397    12.0710    12.0918    12.1036    12.1323
   2018      7     24   12.00       552.00   0.12189E+02   0.00000E+00   0.12189E+02   0.12310E+02   0.12373E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15370E+02   0.49907E+02  -0.10859E+03  -0.72951E+02   0.55346E-02   0.86426E-04   0.92375E-02       0.17     170.81     0.0000  0.00   0.62241E-01   0.31037E+01    12.2903    12.3162    12.3252    12.3353    12.3658
   2018      7     25   12.00       576.00   0.13280E+02   0.00000E+00   0.13280E+02   0.13327E+02   0.13376E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.59065E+01   0.27081E+02  -0.86598E+02  -0.71178E+02   0.22782E-02   0.67700E-05   0.37414E-03       0.17     200.05     0.0000  0.00  -0.10888E-01   0.11359E+00    13.3162    13.3294    13.3345    13.3428    13.3745
   2018      7     26   12.00       600.00   0.14350E+02   0.00000E+00   0.14350E+02   0.14438E+02   0.14490E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37688E+01   0.45783E+02  -0.95279E+02  -0.64520E+02   0.43060E-02   0.20864E-04   0.26343E-02       0.17     187.25     0.0000  0.00  -0.51923E-01  -0.16063E+01    14.4214    14.4425    14.4495    14.4582    14.4861
   2018      7     27   12.00       624.00   0.15204E+02   0.00000E+00   0.15204E+02   0.15249E+02   0.15284E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28057E+01   0.30533E+02  -0.66246E+02  -0.43568E+02   0.32285E-02   0.10429E-04   0.87571E-03       0.17     140.73     0.0000  0.00   0.10342E-01  -0.94721E+00    15.2390    15.2524    15.2568    15.2626    15.2837
   2018      7     28   12.00       648.00   0.15502E+02   0.00000E+00   0.15502E+02   0.15569E+02   0.15605E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90133E+01   0.34588E+02  -0.70560E+02  -0.36124E+02   0.37765E-02   0.12406E-04   0.12513E-02       0.17     111.54     0.0000  0.00   0.61472E-01  -0.46616E+00    15.5552    15.5737    15.5788    15.5841    15.6036
