 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.16455E+00   0.00000E+00   0.00000E+00   0.42895E+01   0.48659E+01   0.00000E+00   0.16455E+00   0.00000E+00  -0.25225E+02  -0.18582E+02   0.43807E+02  -0.22972E+04   0.16680E-02   0.24795E-08   0.77883E-04       0.40     220.30     0.0000  0.00   0.14890E-02  -0.85998E-02     4.4794     4.5523     4.6110     4.6379     4.8405
   2021      7      3   12.00        48.00   0.10700E+01   0.00000E+00   0.62245E+00   0.18270E+01   0.43542E+01   0.00000E+00   0.44758E+00   0.00000E+00  -0.64502E+02  -0.49922E+02   0.11950E+03  -0.12471E+03   0.48824E-02   0.51118E-09   0.13953E-02       0.29     156.07     0.0000  0.00   0.64097E-01  -0.32477E+00     1.5552     2.7809     3.9880     4.1567     4.3542
   2021      7      4   12.00        72.00   0.37669E+01   0.00000E+00   0.37669E+01   0.35996E+01   0.43701E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.12922E+02  -0.12000E+02   0.31153E+02  -0.64749E+02   0.19774E-02   0.79377E-14   0.22744E-03       0.16      37.51     0.0000  0.00   0.23599E-01  -0.13873E-01     3.5665     3.5311     3.5537     3.9057     4.2666
   2021      7      5   12.00        96.00   0.59329E+01   0.00000E+00   0.59329E+01   0.57083E+01   0.59387E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.14758E+02  -0.15319E+02   0.33300E+02  -0.58275E+02   0.32647E-02   0.72826E-12   0.13608E-02       0.16      62.86     0.0000  0.00   0.28083E-01   0.11823E+01     5.7909     5.6537     5.1327     4.7018     4.7955
   2021      7      6   12.00       120.00   0.83545E+01   0.00000E+00   0.83545E+01   0.82411E+01   0.83725E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.13026E+02  -0.63035E+01   0.12347E+02  -0.40550E+02   0.66538E-02   0.21033E-04   0.16697E-01       0.16     132.09     0.0000  0.00   0.11688E+00   0.41425E+01     8.2449     8.2351     8.2073     7.7848     7.4833
   2021      7      7   12.00       144.00   0.11182E+02   0.00000E+00   0.11182E+02   0.11209E+02   0.11252E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10158E+02   0.27554E+02  -0.66555E+02  -0.58530E+02   0.53929E-02   0.98504E-05   0.84295E-02       0.16     188.92     0.0000  0.00   0.17918E-01   0.29893E+01    11.2096    11.2153    11.2156    11.2185    11.2451
   2021      7      8   12.00       168.00   0.11521E+02   0.00000E+00   0.11521E+02   0.11633E+02   0.11690E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20069E+02   0.34409E+02  -0.87373E+02  -0.51354E+02   0.54795E-02   0.66818E-05   0.71596E-02       0.16     123.20     0.0000  0.00  -0.67050E-01   0.28884E+01    11.6380    11.6496    11.6574    11.6620    11.6855
   2021      7      9   12.00       192.00   0.10977E+02   0.00000E+00   0.10977E+02   0.11023E+02   0.11060E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.92551E+01   0.14661E+02  -0.47025E+02  -0.35673E+02   0.39103E-02   0.19718E-05   0.21540E-02       0.16      68.90     0.0000  0.00   0.35031E-01   0.10299E+01    11.0248    11.0318    11.0364    11.0388    11.0597
   2021      7     10   12.00       216.00   0.10959E+02   0.00000E+00   0.10959E+02   0.10984E+02   0.11015E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.15632E+01   0.12438E+02  -0.37288E+02  -0.38718E+02   0.47390E-02   0.26736E-05   0.39318E-02       0.16      85.89     0.0000  0.00   0.47492E-01  -0.19138E+01    10.9840    10.9879    10.9905    10.9931    11.0146
   2021      7     11   12.00       240.00   0.11715E+02   0.00000E+00   0.11715E+02   0.11744E+02   0.11779E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.14802E+01   0.16588E+02  -0.47189E+02  -0.41235E+02   0.39865E-02   0.31614E-05   0.26171E-02       0.16     108.45     0.0000  0.00   0.95327E-02  -0.18546E+01    11.7442    11.7500    11.7533    11.7561    11.7780
