 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2018      7      2   12.00        24.00   0.18174E+02   0.00000E+00   0.18174E+02   0.18193E+02   0.18357E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36478E+02   0.74425E+02  -0.15711E+03  -0.24088E+03   0.38036E-02   0.42449E-09   0.14593E-02       0.16      95.89     0.0000  0.00  -0.57141E-01   0.41283E+01    18.3108    18.3501    18.3001    15.9664    14.0233
   2018      7      3   12.00        48.00   0.16534E+02   0.00000E+00   0.16534E+02   0.16635E+02   0.16697E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31644E+02   0.59066E+02  -0.12692E+03  -0.84625E+02   0.43662E-02   0.18374E-09   0.24930E-02       0.16     109.03     0.0000  0.00  -0.36359E-01   0.58679E+01    16.6520    16.6885    16.6936    15.7322    14.4684
   2018      7      4   12.00        72.00   0.15886E+02   0.00000E+00   0.15886E+02   0.15980E+02   0.16020E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20365E+02   0.48596E+02  -0.10432E+03  -0.10701E+03   0.37065E-02   0.75193E-05   0.13358E-02       0.16     143.50     0.0000  0.00   0.44478E-01   0.40488E+01    15.9632    15.9898    15.9937    15.9655    15.9280
   2018      7      5   12.00        96.00   0.15932E+02   0.00000E+00   0.15932E+02   0.15977E+02   0.16026E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.95479E+01   0.39508E+02  -0.91265E+02  -0.16317E+03   0.32601E-02   0.68196E-05   0.67181E-03       0.16     200.58     0.0000  0.00   0.11131E+00   0.16502E+00    15.9681    15.9804    15.9829    15.9867    16.0264
   2018      7      6   12.00       120.00   0.16714E+02   0.00000E+00   0.16714E+02   0.16757E+02   0.16798E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14544E+00   0.46906E+02  -0.10227E+03  -0.19574E+03   0.47613E-02   0.14889E-04   0.37529E-02       0.16     263.12     0.0000  0.00   0.70981E-01  -0.65364E+01    16.7496    16.7583    16.7615    16.7669    16.7968
   2018      7      7   12.00       144.00   0.17600E+02   0.00000E+00   0.17600E+02   0.17678E+02   0.17727E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.16160E+01   0.68086E+02  -0.13073E+03  -0.20460E+03   0.60351E-02   0.36319E-04   0.91270E-02       0.16     281.48     0.0000  0.00  -0.45551E-01  -0.11282E+02    17.6654    17.6814    17.6869    17.6934    17.7216
   2018      7      8   12.00       168.00   0.18121E+02   0.00000E+00   0.18121E+02   0.18238E+02   0.18289E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77377E+01   0.75495E+02  -0.14447E+03  -0.18561E+03   0.55136E-02   0.26685E-04   0.63449E-02       0.16     253.93     0.0000  0.00  -0.15308E+00  -0.86240E+01    18.2193    18.2458    18.2522    18.2586    18.2840
   2018      7      9   12.00       192.00   0.18238E+02   0.00000E+00   0.18238E+02   0.18368E+02   0.18418E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17927E+02   0.73732E+02  -0.14584E+03  -0.16334E+03   0.57604E-02   0.30539E-04   0.73979E-02       0.16     219.23     0.0000  0.00  -0.19612E+00  -0.90139E+01    18.3471    18.3767    18.3837    18.3898    18.4126
   2018      7     10   12.00       216.00   0.17975E+02   0.00000E+00   0.17975E+02   0.18146E+02   0.18198E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27228E+02   0.81198E+02  -0.15805E+03  -0.14258E+03   0.59435E-02   0.37046E-04   0.86416E-02       0.16     180.00     0.0000  0.00  -0.14941E+00  -0.10449E+02    18.1191    18.1571    18.1651    18.1711    18.1916
   2018      7     11   12.00       240.00   0.17569E+02   0.00000E+00   0.17569E+02   0.17653E+02   0.17683E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18166E+02   0.45182E+02  -0.10805E+03  -0.10988E+03   0.25587E-02   0.85945E-05   0.85302E-03       0.16     138.69     0.0000  0.00  -0.43653E-01  -0.11344E+01    17.6389    17.6584    17.6625    17.6662    17.6821
