 1 - depth, m
 2 - temperature, C
 3 - salinity, kg/kg
 4 - density, kg/m**3
 5 - absolute value of velocity, m/s
 6 - turbulent kinetic energy, m**2/s**2
 7 - disspation rate, m**2/s**3
 8 - TKE production by buoyancy, m**2/s**3
 9 - TKE production by shear   , m**2/s**3
 10 - TKE production by seiches (Goudsmit paramaterization)  , m**2/s**3
 11 - TKE turbulent transport  , m**2/s**3
 12 - kinematic heat conductance, m**2/s
   -0.000000    2.417  0.9872E-10  999.930  0.1672E+00  0.4694E-03  0.1492E-03  0.6781E-09  0.9007E-04  0.0000E+00 -0.4500E-04  0.2152E-04
   -0.250000    2.549  0.8306E-10  999.935  0.3044E-01  0.1067E-03  0.6182E-05 -0.2197E-08  0.1849E-05  0.0000E+00  0.4015E-05  0.4581E-03
   -0.500000    2.566  0.8302E-10  999.935  0.1968E-01  0.5139E-04  0.1867E-05 -0.1336E-08  0.7073E-06  0.0000E+00  0.1131E-05  0.1023E-02
   -0.750000    2.575  0.8298E-10  999.935  0.1399E-01  0.3344E-04  0.6721E-06 -0.9391E-09  0.3769E-06  0.0000E+00  0.2970E-06  0.1089E-02
   -1.000000    2.583  0.8296E-10  999.935  0.1017E-01  0.2611E-04  0.3143E-06 -0.7955E-09  0.2316E-06  0.0000E+00  0.8353E-07  0.1127E-02
   -1.250000    2.595  0.8286E-10  999.936  0.7245E-02  0.2130E-04  0.1813E-06 -0.7085E-09  0.1657E-06  0.0000E+00  0.1625E-07  0.4700E-03
   -1.500000    2.623  0.8269E-10  999.937  0.5190E-02  0.1748E-04  0.1118E-06 -0.6350E-09  0.9130E-07  0.0000E+00  0.2110E-07  0.5415E-03
   -1.750000    2.714  0.8248E-10  999.942  0.3727E-02  0.1465E-04  0.7676E-07 -0.5523E-09  0.6446E-07  0.0000E+00  0.1284E-07  0.5892E-03
   -2.000000    2.895  0.8227E-10  999.950  0.2563E-02  0.1241E-04  0.5757E-07 -0.4682E-09  0.5181E-07  0.0000E+00  0.6228E-08  0.5703E-03
   -2.250000    3.291  0.8222E-10  999.961  0.1628E-02  0.1025E-04  0.4625E-07 -0.3558E-09  0.3098E-07  0.0000E+00  0.1562E-07  0.5203E-03
   -2.500000    3.707  0.8226E-10  999.970  0.1045E-02  0.7887E-05  0.4474E-07 -0.1482E-09  0.1395E-07  0.0000E+00  0.3093E-07  0.3794E-03
