 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10      2   12.00        24.00   0.41486E+01   0.00000E+00   0.41486E+01   0.41066E+01   0.41486E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.55692E+01  -0.24439E+01  -0.21682E+02   0.20025E+02   0.35330E-02   0.62543E-07   0.76762E-03       0.09      78.70     0.0000  0.00   0.17131E+00  -0.30429E+00     4.1388     4.1102     4.0823     4.0380     3.9021
   2000     10      3   12.00        48.00   0.43316E+01   0.00000E+00   0.43316E+01   0.42956E+01   0.43359E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.30604E+01  -0.50331E+00  -0.29755E+02   0.10485E+02   0.35308E-02   0.61469E-12   0.82537E-03       0.09      80.61     0.0000  0.00   0.17218E+00  -0.48791E+00     4.3330     4.3150     4.2933     4.0952     3.8327
   2000     10      4   12.00        72.00   0.44636E+01   0.00000E+00   0.44636E+01   0.44359E+01   0.44844E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.34153E+00   0.19979E+01  -0.38651E+02   0.89251E+01   0.36670E-02   0.18399E-11   0.11820E-02       0.09      80.81     0.0000  0.00   0.18322E+00  -0.82389E+00     4.4834     4.4743     4.4579     4.0957     3.8460
   2000     10      5   12.00        96.00   0.45104E+01   0.00000E+00   0.45104E+01   0.44881E+01   0.45279E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.22984E+01   0.41049E+01  -0.45179E+02   0.73897E+01   0.37601E-02   0.73808E-12   0.88527E-03       0.09      77.62     0.0000  0.00   0.19110E+00  -0.72657E+00     4.5250     4.5244     4.5130     4.1685     3.8504
   2000     10      6   12.00       120.00   0.44724E+01   0.00000E+00   0.44724E+01   0.44744E+01   0.45048E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.41164E+01   0.55904E+01  -0.49659E+02   0.62821E+01   0.35711E-02   0.14064E-12   0.72213E-03       0.09      76.72     0.0000  0.00   0.17491E+00  -0.32030E-01     4.4979     4.5036     4.4969     4.2197     3.8542
   2000     10      7   12.00       144.00   0.43903E+01   0.00000E+00   0.43903E+01   0.44145E+01   0.44353E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.59292E+01   0.69507E+01  -0.54671E+02   0.61440E+01   0.33329E-02   0.18710E-11   0.65533E-03       0.09      76.99     0.0000  0.00   0.15332E+00  -0.29144E+00     4.4246     4.4349     4.4307     4.2577     3.8648
   2000     10      8   12.00       168.00   0.42409E+01   0.00000E+00   0.42409E+01   0.42847E+01   0.42942E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.91670E+01   0.10200E+02  -0.63134E+02   0.11573E+02   0.36806E-02   0.82461E-07   0.72598E-03       0.10      76.22     0.0000  0.00   0.17580E+00  -0.53997E+00     4.2726     4.2933     4.2928     4.2823     4.1825
   2000     10      9   12.00       192.00   0.40171E+01   0.00000E+00   0.40171E+01   0.40754E+01   0.40903E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.11805E+02   0.12253E+02  -0.70122E+02   0.50136E+01   0.37384E-02   0.24259E-06   0.71177E-03       0.10      74.75     0.0000  0.00   0.18263E+00  -0.44890E+00     4.0542     4.0848     4.0897     4.0886     4.0651
   2000     10     10   12.00       216.00   0.37053E+01   0.00000E+00   0.37053E+01   0.38139E+01   0.38359E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.12395E+02   0.12957E+02  -0.73315E+02   0.23614E+01   0.35282E-02   0.14319E-06   0.98883E-03       0.10      74.23     0.0000  0.00   0.16978E+00  -0.33017E+00     3.7894     3.8241     3.8332     3.8357     3.8242
   2000     10     11   12.00       240.00   0.34433E+01   0.00000E+00   0.34433E+01   0.35333E+01   0.36208E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.12958E+02   0.13141E+02  -0.74647E+02   0.14494E+01   0.34352E-02   0.19817E-13   0.53902E-03       0.10      73.09     0.0000  0.00   0.15973E+00  -0.57110E-02     3.4930     3.5372     3.5584     3.6076     3.5994
   2000     10     12   12.00       264.00   0.31063E+01   0.00000E+00   0.31063E+01   0.32728E+01   0.35177E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.10111E+02   0.98643E+01  -0.67477E+02   0.19974E+01   0.26613E-02   0.34153E-14   0.21476E-03       0.10      69.44     0.0000  0.00   0.99042E-01   0.32991E-01     3.1564     3.2145     3.4154     3.5165     3.4997
   2000     10     13   12.00       288.00   0.25869E+01   0.00000E+00   0.25869E+01   0.30592E+01   0.34882E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.77454E+01   0.73012E+01  -0.60637E+02   0.24683E+01   0.22069E-02   0.17661E-15   0.11028E-03       0.10      65.58     0.0000  0.00   0.64628E-01   0.12054E+00     2.6406     3.1561     3.4685     3.4866     3.4691
