 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10      2   12.00        24.00   0.45563E+01   0.00000E+00   0.45563E+01   0.44043E+01   0.45659E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.18580E+01   0.11969E+01  -0.31821E+02   0.33734E+02   0.22177E-02   0.48403E-12   0.11317E-03       0.09      71.78     0.0000  0.00   0.16479E-01  -0.18397E+00     4.5648     4.5099     3.9768     3.9336     3.8610
   2000     10      3   12.00        48.00   0.45515E+01   0.00000E+00   0.45515E+01   0.44515E+01   0.45715E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.82488E+00   0.17066E+01  -0.36224E+02   0.14671E+02   0.20529E-02   0.20785E-15   0.79173E-04       0.09      71.78     0.0000  0.00   0.15146E-01  -0.87176E-01     4.5691     4.5667     4.1234     3.9542     3.9009
   2000     10      4   12.00        72.00   0.45246E+01   0.00000E+00   0.45246E+01   0.44650E+01   0.45677E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.20123E+00   0.22752E+01  -0.41039E+02   0.80869E+01   0.17980E-02   0.10568E-17   0.49942E-04       0.09      70.60     0.0000  0.00   0.11724E-01  -0.54859E-01     4.5564     4.5667     4.2251     3.9619     3.9151
   2000     10      5   12.00        96.00   0.44042E+01   0.00000E+00   0.44042E+01   0.43945E+01   0.44717E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.88240E+00   0.25556E+01  -0.43339E+02   0.53999E+01   0.16280E-02   0.37660E-19   0.35515E-04       0.09      66.93     0.0000  0.00   0.97970E-02  -0.68118E-02     4.4488     4.4690     4.2780     3.9640     3.9193
   2000     10      6   12.00       120.00   0.42257E+01   0.00000E+00   0.42257E+01   0.42640E+01   0.43156E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.13389E+01   0.28763E+01  -0.45243E+02   0.35520E+01   0.15453E-02   0.13240E-19   0.29996E-04       0.09      65.09     0.0000  0.00   0.87778E-02   0.29329E-01     4.2805     4.3096     4.2627     3.9751     3.9211
   2000     10      7   12.00       144.00   0.40024E+01   0.00000E+00   0.40024E+01   0.40938E+01   0.41414E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.17671E+01   0.30168E+01  -0.47420E+02   0.27088E+01   0.13461E-02   0.18909E-18   0.18853E-04       0.09      64.29     0.0000  0.00   0.66281E-02   0.28856E-01     4.0791     4.1284     4.1396     4.0093     3.9329
   2000     10      8   12.00       168.00   0.34364E+01   0.00000E+00   0.34364E+01   0.38886E+01   0.40671E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.18307E+01   0.30178E+01  -0.47744E+02  -0.54924E+00   0.10601E-02   0.92824E-20   0.84950E-05       0.10      63.22     0.0000  0.00   0.41245E-02  -0.14818E-02     3.7820     4.0572     4.0657     3.9961     3.9017
   2000     10      9   12.00       192.00   0.22841E+01   0.00000E+00   0.22841E+01   0.37358E+01   0.41101E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.76949E+00   0.17612E+01  -0.42634E+02   0.11690E+01   0.10294E-02   0.30741E-19   0.84586E-05       0.10      61.67     0.0000  0.00   0.37307E-02  -0.24891E-01     3.6759     4.1061     4.1092     4.0285     3.9566
   2000     10     10   12.00       216.00   0.11430E+01   0.00000E+00   0.11430E+01   0.36851E+01   0.41336E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.12702E+00   0.92236E+00  -0.38236E+02   0.51656E+01   0.84233E-03   0.39500E-12   0.53883E-05       0.10      60.79     0.0000  0.00   0.21158E-02  -0.42192E-01     3.8317     4.1324     4.1334     4.1177     4.0812
   2000     10     11   12.00       240.00   0.12677E+01   0.00000E+00   0.12677E+01   0.36406E+01   0.41127E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.69128E+00   0.17572E+01  -0.42000E+02   0.31879E+01   0.97352E-03   0.12794E-12   0.88312E-05       0.10      59.41     0.0000  0.00   0.21051E-02  -0.77441E-01     3.7242     4.1067     4.1115     4.1087     4.0798
   2000     10     12   12.00       264.00   0.14097E+01   0.00000E+00   0.14097E+01   0.34501E+01   0.40792E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.17998E+01   0.27498E+01  -0.45637E+02  -0.18497E+00   0.12571E-02   0.47485E-17   0.19262E-04       0.10      56.17     0.0000  0.00   0.34289E-02  -0.12349E+00     3.2067     4.0727     4.0781     4.0547     3.9920
   2000     10     13   12.00       288.00   0.70452E+00   0.00000E+00   0.70452E+00   0.32308E+01   0.40663E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.10582E+01   0.19704E+01  -0.41695E+02   0.21946E+01   0.12189E-02   0.36010E-15   0.17581E-04       0.10      52.99     0.0000  0.00   0.32272E-02  -0.11740E+00     2.8393     4.0636     4.0659     4.0424     3.9902
   2000     10     14   12.00       312.00   0.99824E+00   0.00000E+00   0.99824E+00   0.29771E+01   0.40502E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.31054E+01   0.42914E+01  -0.47805E+02   0.48167E+00   0.20061E-02   0.60352E-16   0.83610E-04       0.10      50.80     0.0000  0.00   0.10654E-01  -0.24900E+00     2.0260     4.0369     4.0475     4.0307     3.9649
   2000     10     15   12.00       336.00   0.90723E+00   0.00000E+00   0.90723E+00   0.26071E+01   0.40355E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.31778E+01   0.44190E+01  -0.46424E+02  -0.34021E+00   0.21397E-02   0.26295E-18   0.11524E-03       0.10      48.48     0.0000  0.00   0.10321E-01  -0.32608E+00     1.1487     3.9248     4.0336     4.0057     3.9322
   2000     10     16   12.00       360.00   0.58576E+00   0.00000E+00   0.58576E+00   0.23189E+01   0.41214E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.16012E+01   0.34660E+01  -0.39596E+02  -0.55310E+00   0.21057E-02   0.56851E-30   0.95818E-04       0.11      45.68     0.0000  0.00   0.11004E-01  -0.29400E+00     0.7286     3.6439     4.0852     3.9767     3.8504
   2000     10     17   12.00       384.00   0.48966E+00   0.00000E+00   0.48966E+00   0.21094E+01   0.42450E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.14598E+01   0.31776E+01  -0.37408E+02  -0.60379E+00   0.24269E-02   0.49026E-29   0.18180E-03       0.11      44.41     0.0000  0.00   0.14396E-01  -0.39776E+00     0.5362     3.2058     4.2063     3.9717     3.7607
   2000     10     18   12.00       408.00   0.45863E+00   0.00000E+00   0.45863E+00   0.19052E+01   0.42915E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.15546E+01   0.41201E+01  -0.37265E+02  -0.40974E+00   0.26506E-02   0.39718E-28   0.22529E-03       0.11      43.00     0.0000  0.00   0.18232E-01  -0.44974E+00     0.4933     2.5958     4.2390     3.9799     3.7031
   2000     10     19   12.00       432.00   0.24907E+00   0.00000E+00   0.24907E+00   0.16997E+01   0.42924E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.12519E+01   0.28007E+01  -0.35697E+02  -0.15154E+00   0.23754E-02   0.15990E-28   0.13612E-03       0.11      41.59     0.0000  0.00   0.15170E-01  -0.34679E+00     0.2826     2.2366     4.1738     3.9882     3.6639
   2000     10     20   12.00       456.00  -0.11017E-01   0.00000E+00  -0.11017E-01   0.15436E+01   0.42510E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.87353E+00   0.24920E+01  -0.34981E+02   0.17114E+00   0.23418E-02   0.47268E-29   0.13508E-03       0.11      39.31     0.0000  0.00   0.19253E-01  -0.15173E+00     0.0263     2.1614     4.0629     3.9821     3.6329
   2000     10     21   12.00       480.00  -0.10349E-01   0.00000E+00  -0.10349E-01   0.14462E+01   0.41853E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.24163E+01   0.33810E+01  -0.40299E+02   0.45665E+00   0.27340E-02   0.32342E-28   0.22298E-03       0.11      38.48     0.0000  0.00   0.27640E-01   0.25130E-01     0.0246     1.9228     3.9588     3.9599     3.6154
   2000     10     22   12.00       504.00  -0.17673E-01   0.00000E+00  -0.17673E-01   0.12892E+01   0.41169E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.50631E+01   0.49666E+01  -0.47110E+02   0.57321E+00   0.30101E-02   0.30585E-27   0.35063E-03       0.11      37.70     0.0000  0.00   0.33609E-01  -0.31107E-01     0.0222     1.4442     3.8462     3.9263     3.6036
   2000     10     23   12.00       528.00  -0.29213E-01   0.00000E+00  -0.29213E-01   0.11710E+01   0.40492E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.79638E+01   0.66839E+01  -0.55627E+02   0.57771E+00   0.28448E-02   0.38065E-27   0.30858E-03       0.12      37.93     0.0000  0.00   0.30269E-01   0.13217E-01     0.0180     1.0994     3.6791     3.8893     3.5943
   2000     10     24   12.00       552.00  -0.35887E-01   0.00000E+00  -0.35887E-01   0.11038E+01   0.39686E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.10338E+02   0.80234E+01  -0.62549E+02   0.58991E+00   0.27728E-02   0.35187E-27   0.28726E-03       0.12      38.06     0.0000  0.00   0.28716E-01   0.74524E-01     0.0168     0.9694     3.5049     3.8459     3.5890
   2000     10     25   12.00       576.00  -0.12665E+00   0.00000E+00  -0.12665E+00   0.10090E+01   0.38878E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.13967E+02   0.96468E+01  -0.71656E+02   0.54286E+00   0.30557E-02   0.26381E-26   0.87834E-03       0.12      38.83     0.0000  0.00   0.30807E-01   0.46671E+00     0.0202     0.7060     3.3505     3.7995     3.5892
   2000     10     26   12.00       600.00  -0.11943E+00   0.00000E+00  -0.11943E+00   0.92479E+00   0.38208E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.17822E+02   0.12329E+02  -0.85129E+02   0.40854E+00   0.29969E-02   0.58750E-26   0.67256E-03       0.12      40.32     0.0000  0.00   0.25351E-01   0.57743E+00     0.0176     0.5098     3.1614     3.7578     3.5942
   2000     10     27   12.00       624.00  -0.15671E+01   0.00000E+00  -0.64481E-08   0.89131E+00   0.36914E+01   0.00000E+00  -0.15671E+01   0.00000E+00   0.21509E+02   0.15615E+02  -0.92691E+02   0.19874E+01   0.35857E-02   0.16059E-21   0.40581E-03       0.40      41.10     0.0000  0.00   0.17374E-01   0.41666E+00     0.0197     0.4672     3.0444     3.6899     3.6817
