 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.18082E+02   0.00000E+00   0.18082E+02   0.18020E+02   0.18177E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21119E+02   0.59964E+02  -0.13479E+03  -0.20409E+03   0.27420E-02   0.32197E-09   0.44505E-03       0.16     220.30     0.0000  0.00   0.33849E-01  -0.29743E+00    18.1621    18.0657    17.7960    15.5496    13.9353
   2021      7      3   12.00        48.00   0.16291E+02   0.00000E+00   0.16291E+02   0.16479E+02   0.16544E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38737E+02   0.81450E+02  -0.17879E+03  -0.96786E+02   0.45184E-02   0.20164E-05   0.17681E-02       0.16     156.07     0.0000  0.00   0.82349E-01  -0.50109E+00    16.4798    16.5124    16.5191    16.4215    16.4077
   2021      7      4   12.00        72.00   0.13018E+02   0.00000E+00   0.13018E+02   0.13103E+02   0.13144E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15912E+02   0.24632E+02  -0.80210E+02  -0.69380E+02   0.25301E-02   0.11898E-05   0.24743E-03       0.16      37.51     0.0000  0.00   0.27841E-01   0.58897E-01    13.1028    13.1186    13.1230    13.1254    13.1425
   2021      7      5   12.00        96.00   0.12098E+02   0.00000E+00   0.12098E+02   0.12173E+02   0.12222E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12478E+02   0.19252E+02  -0.59289E+02  -0.68758E+02   0.34134E-02   0.83347E-06   0.13774E-02       0.16      62.86     0.0000  0.00   0.27113E-01   0.14268E+01    12.1687    12.1893    12.1941    12.1969    12.2218
   2021      7      6   12.00       120.00   0.11716E+02   0.00000E+00   0.11716E+02   0.11788E+02   0.11846E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15612E+02   0.31686E+02  -0.71230E+02  -0.95518E+02   0.67342E-02   0.41763E-05   0.16222E-01       0.16     132.09     0.0000  0.00   0.11756E+00   0.52330E+01    11.7826    11.8005    11.8076    11.8128    11.8431
   2021      7      7   12.00       144.00   0.12824E+02   0.00000E+00   0.12824E+02   0.12934E+02   0.12999E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22657E+02   0.46195E+02  -0.10615E+03  -0.10817E+03   0.54278E-02   0.30044E-05   0.81550E-02       0.16     188.92     0.0000  0.00   0.18637E-01   0.36784E+01    12.9276    12.9532    12.9607    12.9668    12.9934
   2021      7      8   12.00       168.00   0.12593E+02   0.00000E+00   0.12593E+02   0.12741E+02   0.12813E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28533E+02   0.47173E+02  -0.11413E+03  -0.85878E+02   0.55495E-02   0.32385E-05   0.64241E-02       0.16     123.20     0.0000  0.00  -0.65407E-01   0.34381E+01    12.7321    12.7689    12.7781    12.7840    12.8043
   2021      7      9   12.00       192.00   0.11816E+02   0.00000E+00   0.11816E+02   0.11892E+02   0.11937E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13900E+02   0.21412E+02  -0.62718E+02  -0.59845E+02   0.39069E-02   0.10464E-05   0.20513E-02       0.16      68.90     0.0000  0.00   0.32699E-01   0.12048E+01    11.8857    11.9099    11.9153    11.9189    11.9362
   2021      7     10   12.00       216.00   0.11585E+02   0.00000E+00   0.11585E+02   0.11639E+02   0.11688E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25956E+01   0.18530E+02  -0.50742E+02  -0.62257E+02   0.47787E-02   0.11820E-05   0.35972E-02       0.16      85.89     0.0000  0.00   0.45913E-01  -0.22849E+01    11.6335    11.6511    11.6561    11.6598    11.6874
   2021      7     11   12.00       240.00   0.12117E+02   0.00000E+00   0.12117E+02   0.12167E+02   0.12211E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.78202E+00   0.19797E+02  -0.54729E+02  -0.63771E+02   0.39561E-02   0.93192E-06   0.28127E-02       0.16     108.45     0.0000  0.00   0.82106E-02  -0.22216E+01    12.1629    12.1776    12.1817    12.1852    12.2103
