 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.21079E+02   0.00000E+00  -0.86374E-08   0.29236E+01   0.37540E+01   0.00000E+00  -0.35632E-01  -0.21079E+02  -0.62040E+02   0.34886E+01   0.58551E+02  -0.76385E+01   0.14539E-01   0.92595E-09   0.00000E+00       0.85      17.44     0.0000  0.00   0.28201E-05  -0.10857E-04     1.4755     3.6715     3.7089     3.6974     3.7527
   2022      1      3   12.00        48.00  -0.22295E+02   0.00000E+00  -0.89919E-08   0.27498E+01   0.35203E+01   0.00000E+00  -0.94359E-02  -0.22295E+02  -0.66150E+02   0.42303E+01   0.61920E+02  -0.66674E+01   0.16038E-01   0.30180E-30   0.00000E+00       0.85      15.67     0.0000  0.00  -0.71036E-24  -0.84156E-22     1.4230     3.4325     3.4488     3.4481     3.5203
   2022      1      4   12.00        72.00  -0.21488E+02   0.00000E+00  -0.92739E-08   0.26391E+01   0.34309E+01   0.00000E+00  -0.93514E-02  -0.21488E+02  -0.64009E+02   0.65405E+01   0.57468E+02  -0.57436E+01   0.15941E-01   0.84523E-49   0.00000E+00       0.85      16.64     0.0000  0.00  -0.67264E-40  -0.79481E-38     1.3847     3.2824     3.2988     3.3023     3.4309
   2022      1      5   12.00        96.00  -0.21315E+02   0.00000E+00  -0.95502E-08   0.25504E+01   0.34007E+01   0.00000E+00  -0.92782E-02  -0.21315E+02  -0.53745E+02   0.46893E+01   0.49056E+02  -0.51360E+01   0.13381E-01   0.35684E-65   0.00000E+00       0.85      17.00     0.0000  0.00  -0.63256E-56  -0.74746E-54     1.3488     3.1656     3.1850     3.1915     3.4007
   2022      1      6   12.00       120.00  -0.21274E+02   0.00000E+00  -0.98365E-08   0.24737E+01   0.33486E+01   0.00000E+00  -0.95170E-02  -0.21274E+02  -0.42174E+02   0.22276E+01   0.39947E+02  -0.50653E+01   0.92160E-02   0.60672E-82   0.00000E+00       0.85      17.59     0.0000  0.00  -0.59474E-72  -0.70277E-70     1.3136     3.0665     3.0898     3.1025     3.3486
   2022      1      7   12.00       144.00  -0.20226E+02   0.00000E+00  -0.10132E-07   0.24051E+01   0.33293E+01   0.00000E+00  -0.93894E-02  -0.20226E+02  -0.44552E+02   0.15785E+01   0.42973E+02  -0.47541E+01   0.10103E-01   0.33255E-98   0.00000E+00       0.85      18.62     0.0000  0.00  -0.55848E-88  -0.65993E-86     1.2787     2.9800     3.0073     3.0242     3.3293
   2022      1      8   12.00       168.00  -0.19362E+02   0.00000E+00  -0.10412E-07   0.23428E+01   0.33111E+01   0.00000E+00  -0.89981E-02  -0.19362E+02  -0.56507E+02   0.60702E+01   0.50437E+02  -0.45607E+01   0.15602E-01   0.21149-114   0.00000E+00       0.85      17.73     0.0000  0.00  -0.52447-104  -0.61974-102     1.2437     2.9027     2.9347     2.9556     3.3111
   2022      1      9   12.00       192.00  -0.20014E+02   0.00000E+00  -0.10679E-07   0.22854E+01   0.33092E+01   0.00000E+00  -0.89885E-02  -0.20014E+02  -0.58990E+02   0.94992E+01   0.49491E+02  -0.41670E+01   0.18703E-01   0.14219-130   0.00000E+00       0.85      16.67     0.0000  0.00  -0.49297-120  -0.58253-118     1.2091     2.8327     2.8698     2.8932     3.3092
   2022      1     10   12.00       216.00  -0.20549E+02   0.00000E+00  -0.10974E-07   0.22324E+01   0.33184E+01   0.00000E+00  -0.94996E-02  -0.20549E+02  -0.44182E+02   0.66628E+01   0.37519E+02  -0.40176E+01   0.15177E-01   0.24441-147   0.00000E+00       0.85      16.33     0.0000  0.00  -0.46314-136  -0.54728-134     1.1758     2.7684     2.8110     2.8364     3.3184
   2022      1     11   12.00       240.00  -0.18443E+02   0.00000E+00  -0.11288E-07   0.21831E+01   0.33055E+01   0.00000E+00  -0.92074E-02  -0.18443E+02  -0.19754E+02   0.43731E+01   0.15381E+02  -0.41105E+01   0.99722E-02   0.13284-164   0.00000E+00       0.85      14.59     0.0000  0.00  -0.43356-152  -0.51231-150     1.1437     2.7085     2.7570     2.7876     3.3055
