#,Date-Time (AKDT),WaterTemp_degC,Button Down,Button Up,Host Connected,Stopped,End of File
1,07-03-2024 13:02:12,17.29,,,,,
2,07-03-2024 13:07:12,20.55,,,,,
3,07-03-2024 13:12:12,20.85,,,,,
4,07-03-2024 13:17:12,18.23,,,,,
5,07-03-2024 13:22:12,16.69,,,,,
6,07-03-2024 13:27:12,17.37,,,,,
7,07-03-2024 13:32:12,17.33,,,,,
8,07-03-2024 13:37:12,17.07,,,,,
9,07-03-2024 13:42:12,17.33,,,,,
10,07-03-2024 13:47:12,17.11,,,,,
11,07-03-2024 13:52:12,15.96,,,,,
12,07-03-2024 13:57:12,15.48,,,,,
13,07-03-2024 14:02:12,15.40,,,,,
14,07-03-2024 14:07:12,15.40,,,,,
15,07-03-2024 14:12:12,15.40,,,,,
16,07-03-2024 14:17:12,15.40,,,,,
17,07-03-2024 14:22:12,15.44,,,,,
18,07-03-2024 14:27:12,15.44,,,,,
19,07-03-2024 14:32:12,15.44,,,,,
20,07-03-2024 14:37:12,15.40,,,,,
21,07-03-2024 14:42:12,15.48,,,,,
22,07-03-2024 14:47:12,15.44,,,,,
23,07-03-2024 14:52:12,15.44,,,,,
24,07-03-2024 14:57:12,15.44,,,,,
25,07-03-2024 15:02:12,15.44,,,,,
26,07-03-2024 15:07:12,15.44,,,,,
27,07-03-2024 15:12:12,15.44,,,,,
28,07-03-2024 15:17:12,15.44,,,,,
29,07-03-2024 15:22:12,15.44,,,,,
30,07-03-2024 15:27:12,15.44,,,,,
31,07-03-2024 15:32:12,15.48,,,,,
32,07-03-2024 15:37:12,15.48,,,,,
33,07-03-2024 15:42:12,15.44,,,,,
34,07-03-2024 15:47:12,15.40,,,,,
35,07-03-2024 15:52:12,15.40,,,,,
36,07-03-2024 15:57:12,15.40,,,,,
37,07-03-2024 16:02:12,15.44,,,,,
38,07-03-2024 16:07:12,15.44,,,,,
39,07-03-2024 16:12:12,15.36,,,,,
40,07-03-2024 16:17:12,15.44,,,,,
41,07-03-2024 16:22:12,15.40,,,,,
42,07-03-2024 16:27:12,15.40,,,,,
43,07-03-2024 16:32:12,15.40,,,,,
44,07-03-2024 16:37:12,15.40,,,,,
45,07-03-2024 16:42:12,15.40,,,,,
46,07-03-2024 16:47:12,15.40,,,,,
47,07-03-2024 16:52:12,15.40,,,,,
48,07-03-2024 16:57:12,15.40,,,,,
49,07-03-2024 17:02:12,15.44,,,,,
50,07-03-2024 17:07:12,15.40,,,,,
51,07-03-2024 17:12:12,15.44,,,,,
52,07-03-2024 17:17:12,15.40,,,,,
53,07-03-2024 17:22:12,15.40,,,,,
54,07-03-2024 17:27:12,15.44,,,,,
55,07-03-2024 17:32:12,15.36,,,,,
56,07-03-2024 17:37:12,15.40,,,,,
57,07-03-2024 17:42:12,15.36,,,,,
58,07-03-2024 17:47:12,15.44,,,,,
59,07-03-2024 17:52:12,15.40,,,,,
60,07-03-2024 17:57:12,15.40,,,,,
61,07-03-2024 18:02:12,15.44,,,,,
62,07-03-2024 18:07:12,15.40,,,,,
63,07-03-2024 18:12:12,15.40,,,,,
64,07-03-2024 18:17:12,15.44,,,,,
65,07-03-2024 18:22:12,15.44,,,,,
66,07-03-2024 18:27:12,15.44,,,,,
67,07-03-2024 18:32:12,15.44,,,,,
68,07-03-2024 18:37:12,15.44,,,,,
69,07-03-2024 18:42:12,15.44,,,,,
70,07-03-2024 18:47:12,15.44,,,,,
71,07-03-2024 18:52:12,15.44,,,,,
72,07-03-2024 18:57:12,15.44,,,,,
73,07-03-2024 19:02:12,15.44,,,,,
74,07-03-2024 19:07:12,15.48,,,,,
75,07-03-2024 19:12:12,15.48,,,,,
76,07-03-2024 19:17:12,15.48,,,,,
77,07-03-2024 19:22:12,15.48,,,,,
78,07-03-2024 19:27:12,15.48,,,,,
