#,Date-Time (AKDT),WaterTemp_degC,Host Connected,Button Down,Button Up,Stopped,End of File
113,07-03-2024 22:15:34,15.10,,,,,
114,07-03-2024 22:20:34,15.06,,,,,
115,07-03-2024 22:25:34,15.06,,,,,
116,07-03-2024 22:30:34,15.06,,,,,
117,07-03-2024 22:35:34,14.97,,,,,
118,07-03-2024 22:40:34,15.01,,,,,
119,07-03-2024 22:45:34,15.01,,,,,
120,07-03-2024 22:50:34,14.97,,,,,
121,07-03-2024 22:55:34,14.93,,,,,
122,07-03-2024 23:00:34,14.88,,,,,
123,07-03-2024 23:05:34,14.88,,,,,
124,07-03-2024 23:10:34,14.88,,,,,
125,07-03-2024 23:15:34,14.84,,,,,
126,07-03-2024 23:20:34,14.88,,,,,
127,07-03-2024 23:25:34,14.93,,,,,
128,07-03-2024 23:30:34,14.84,,,,,
129,07-03-2024 23:35:34,14.84,,,,,
130,07-03-2024 23:40:34,14.75,,,,,
131,07-03-2024 23:45:34,14.75,,,,,
132,07-03-2024 23:50:34,14.84,,,,,
133,07-03-2024 23:55:34,14.71,,,,,
134,07-04-2024 00:00:34,14.67,,,,,
135,07-04-2024 00:05:34,14.71,,,,,
136,07-04-2024 00:10:34,14.67,,,,,
137,07-04-2024 00:15:34,14.67,,,,,
138,07-04-2024 00:20:34,14.63,,,,,
139,07-04-2024 00:25:34,14.63,,,,,
140,07-04-2024 00:30:34,14.63,,,,,
141,07-04-2024 00:35:34,14.58,,,,,
142,07-04-2024 00:40:34,14.54,,,,,
143,07-04-2024 00:45:34,14.54,,,,,
144,07-04-2024 00:50:34,14.50,,,,,
145,07-04-2024 00:55:34,14.50,,,,,
146,07-04-2024 01:00:34,14.45,,,,,
147,07-04-2024 01:05:34,14.45,,,,,
148,07-04-2024 01:10:34,14.45,,,,,
149,07-04-2024 01:15:34,14.45,,,,,
150,07-04-2024 01:20:34,14.41,,,,,
151,07-04-2024 01:25:34,14.33,,,,,
152,07-04-2024 01:30:34,14.37,,,,,
153,07-04-2024 01:35:34,14.33,,,,,
154,07-04-2024 01:40:34,14.33,,,,,
155,07-04-2024 01:45:34,14.28,,,,,
156,07-04-2024 01:50:34,14.24,,,,,
157,07-04-2024 01:55:34,14.28,,,,,
158,07-04-2024 02:00:34,14.28,,,,,
159,07-04-2024 02:05:34,14.24,,,,,
160,07-04-2024 02:10:34,14.20,,,,,
161,07-04-2024 02:15:34,14.24,,,,,
162,07-04-2024 02:20:34,14.20,,,,,
163,07-04-2024 02:25:34,14.11,,,,,
164,07-04-2024 02:30:34,14.11,,,,,
165,07-04-2024 02:35:34,14.11,,,,,
166,07-04-2024 02:40:34,14.07,,,,,
167,07-04-2024 02:45:34,14.11,,,,,
168,07-04-2024 02:50:34,14.03,,,,,
169,07-04-2024 02:55:34,14.03,,,,,
170,07-04-2024 03:00:34,13.98,,,,,
171,07-04-2024 03:05:34,13.98,,,,,
172,07-04-2024 03:10:34,13.94,,,,,
173,07-04-2024 03:15:34,13.94,,,,,
174,07-04-2024 03:20:34,13.90,,,,,
175,07-04-2024 03:25:34,13.90,,,,,
176,07-04-2024 03:30:34,13.90,,,,,
177,07-04-2024 03:35:34,13.90,,,,,
178,07-04-2024 03:40:34,13.85,,,,,
179,07-04-2024 03:45:34,13.85,,,,,
180,07-04-2024 03:50:34,13.81,,,,,
