 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10      2   12.00        24.00   0.45564E+01   0.00000E+00   0.45564E+01   0.44043E+01   0.45660E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.18576E+01   0.11973E+01  -0.31822E+02   0.33753E+02   0.22177E-02   0.48360E-12   0.11317E-03       0.09      71.78     0.0000  0.00   0.16479E-01  -0.18397E+00     4.5649     4.5098     3.9767     3.9336     3.8610
   2000     10      3   12.00        48.00   0.45515E+01   0.00000E+00   0.45515E+01   0.44515E+01   0.45715E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.82492E+00   0.17066E+01  -0.36224E+02   0.14677E+02   0.20529E-02   0.20820E-15   0.79173E-04       0.09      71.78     0.0000  0.00   0.15146E-01  -0.87176E-01     4.5691     4.5666     4.1234     3.9542     3.9009
   2000     10      4   12.00        72.00   0.45246E+01   0.00000E+00   0.45246E+01   0.44650E+01   0.45676E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.20119E+00   0.22751E+01  -0.41039E+02   0.80891E+01   0.17980E-02   0.10568E-17   0.49942E-04       0.09      70.60     0.0000  0.00   0.11724E-01  -0.54859E-01     4.5564     4.5667     4.2250     3.9619     3.9151
   2000     10      5   12.00        96.00   0.44042E+01   0.00000E+00   0.44042E+01   0.43945E+01   0.44716E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.88236E+00   0.25556E+01  -0.43339E+02   0.54014E+01   0.16280E-02   0.37728E-19   0.35515E-04       0.09      66.93     0.0000  0.00   0.97969E-02  -0.68118E-02     4.4488     4.4690     4.2779     3.9640     3.9193
   2000     10      6   12.00       120.00   0.42257E+01   0.00000E+00   0.42257E+01   0.42639E+01   0.43156E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.13388E+01   0.28762E+01  -0.45243E+02   0.35531E+01   0.15453E-02   0.13247E-19   0.29996E-04       0.09      65.09     0.0000  0.00   0.87778E-02   0.29329E-01     4.2805     4.3096     4.2627     3.9751     3.9211
   2000     10      7   12.00       144.00   0.40023E+01   0.00000E+00   0.40023E+01   0.40938E+01   0.41414E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.17671E+01   0.30168E+01  -0.47420E+02   0.27093E+01   0.13461E-02   0.18895E-18   0.18853E-04       0.09      64.29     0.0000  0.00   0.66281E-02   0.28856E-01     4.0791     4.1284     4.1396     4.0093     3.9329
   2000     10      8   12.00       168.00   0.34363E+01   0.00000E+00   0.34363E+01   0.38886E+01   0.40671E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.18306E+01   0.30177E+01  -0.47744E+02  -0.54914E+00   0.10601E-02   0.92730E-20   0.84950E-05       0.10      63.22     0.0000  0.00   0.41245E-02  -0.14818E-02     3.7820     4.0572     4.0657     3.9961     3.9017
   2000     10      9   12.00       192.00   0.22841E+01   0.00000E+00   0.22841E+01   0.37358E+01   0.41101E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.76949E+00   0.17612E+01  -0.42634E+02   0.11657E+01   0.10294E-02   0.30515E-19   0.84586E-05       0.10      61.67     0.0000  0.00   0.37307E-02  -0.24891E-01     3.6759     4.1061     4.1092     4.0285     3.9566
   2000     10     10   12.00       216.00   0.11433E+01   0.00000E+00   0.11433E+01   0.36851E+01   0.41335E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.12667E+00   0.92269E+00  -0.38238E+02   0.51638E+01   0.84235E-03   0.42822E-12   0.53888E-05       0.10      60.79     0.0000  0.00   0.21159E-02  -0.42194E-01     3.8317     4.1323     4.1332     4.1181     4.0824
   2000     10     11   12.00       240.00   0.12678E+01   0.00000E+00   0.12678E+01   0.36406E+01   0.41127E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.69148E+00   0.17574E+01  -0.42001E+02   0.31880E+01   0.97352E-03   0.13191E-12   0.88311E-05       0.10      59.41     0.0000  0.00   0.21051E-02  -0.77441E-01     3.7242     4.1067     4.1115     4.1088     4.0802
