 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.16480E+02   0.00000E+00  -0.15645E-10   0.21021E+01   0.40169E+01   0.00000E+00  -0.21390E-01  -0.16480E+02  -0.93532E+02   0.19340E+02   0.74192E+02  -0.28001E+01   0.13008E-01   0.57997E-08   0.00000E+00       0.85      12.47     0.0000  0.00   0.53979E-06  -0.94181E-06     0.6928     1.9177     3.1464     3.5782     4.0169
   2022      1      3   12.00        48.00  -0.16864E+02   0.00000E+00  -0.16027E-10   0.19591E+01   0.39566E+01   0.00000E+00  -0.45752E-02  -0.16864E+02  -0.10420E+03   0.23186E+02   0.81010E+02  -0.30067E+01   0.14418E-01   0.16165E-57   0.00000E+00       0.85      10.86     0.0000  0.00  -0.67265E-49  -0.96463E-47     0.6273     1.8126     2.9110     3.3418     3.9566
   2022      1      4   12.00        72.00  -0.16499E+02   0.00000E+00  -0.16017E-10   0.18710E+01   0.39171E+01   0.00000E+00  -0.46226E-02  -0.16499E+02  -0.99726E+02   0.24391E+02   0.75335E+02  -0.29957E+01   0.14307E-01   0.12776E-99   0.00000E+00       0.85      10.94     0.0000  0.00  -0.96062E-89  -0.12688E-86     0.5886     1.7317     2.7559     3.2408     3.9171
   2022      1      5   12.00        96.00  -0.16559E+02   0.00000E+00  -0.16119E-10   0.18033E+01   0.38861E+01   0.00000E+00  -0.47416E-02  -0.16559E+02  -0.86093E+02   0.19782E+02   0.66310E+02  -0.29827E+01   0.12198E-01   0.90174-142   0.00000E+00       0.85      10.44     0.0000  0.00  -0.92162-129  -0.12350-126     0.5608     1.6604     2.6382     3.1769     3.8861
   2022      1      6   12.00       120.00  -0.17557E+02   0.00000E+00  -0.16348E-10   0.17469E+01   0.38596E+01   0.00000E+00  -0.50931E-02  -0.17557E+02  -0.62970E+02   0.10369E+02   0.52601E+02  -0.29713E+01   0.82339E-02   0.00000E+00   0.00000E+00       0.85      10.18     0.0000  0.00  -0.89503-169  -0.11993-166     0.5382     1.5957     2.5431     3.1288     3.8596
   2022      1      7   12.00       144.00  -0.19488E+02   0.00000E+00  -0.16745E-10   0.16985E+01   0.38363E+01   0.00000E+00  -0.56761E-02  -0.19488E+02  -0.43924E+02   0.14208E+01   0.42503E+02  -0.29575E+01   0.60163E-02   0.00000E+00   0.00000E+00       0.85      10.69     0.0000  0.00  -0.86621-209  -0.11607-206     0.5189     1.5371     2.4640     3.0902     3.8363
   2022      1      8   12.00       168.00  -0.20157E+02   0.00000E+00  -0.17321E-10   0.16565E+01   0.38154E+01   0.00000E+00  -0.60841E-02  -0.20157E+02  -0.45415E+02   0.12819E+01   0.44133E+02  -0.29416E+01   0.98974E-02   0.00000E+00   0.00000E+00       0.85      11.39     0.0000  0.00  -0.83381-249  -0.11173-246     0.5018     1.4842     2.3970     3.0582     3.8154
   2022      1      9   12.00       192.00  -0.20598E+02   0.00000E+00  -0.17977E-10   0.16194E+01   0.37964E+01   0.00000E+00  -0.62884E-02  -0.20598E+02  -0.51962E+02   0.63759E+01   0.45586E+02  -0.29253E+01   0.16666E-01   0.00000E+00   0.00000E+00       0.85      11.57     0.0000  0.00  -0.79946-289  -0.10712-286     0.4862     1.4362     2.3394     3.0308     3.7964
   2022      1     10   12.00       216.00  -0.20752E+02   0.00000E+00  -0.18681E-10   0.15862E+01   0.37787E+01   0.00000E+00  -0.64506E-02  -0.20752E+02  -0.41033E+02   0.55561E+01   0.35477E+02  -0.29092E+01   0.13911E-01   0.00000E+00   0.00000E+00       0.85      11.43     0.0000  0.00   0.55335-321   0.32855-319     0.4717     1.3927     2.2893     3.0068     3.7787
   2022      1     11   12.00       240.00  -0.19623E+02   0.00000E+00  -0.19386E-10   0.15563E+01   0.37619E+01   0.00000E+00  -0.63139E-02  -0.19623E+02  -0.10469E+02   0.13135E+01   0.91558E+01  -0.28941E+01   0.93120E-02   0.00000E+00   0.00000E+00       0.85      11.78     0.0000  0.00   0.55335-321   0.32855-319     0.4582     1.3530     2.2452     2.9852     3.7619
   2022      1     12   12.00       264.00  -0.18080E+02   0.00000E+00  -0.19973E-10   0.15290E+01   0.37458E+01   0.00000E+00  -0.58347E-02  -0.18080E+02   0.21269E+02  -0.50174E+01  -0.16252E+02  -0.28813E+01   0.82046E-02   0.00000E+00   0.00000E+00       0.85      12.68     0.0000  0.00   0.55335-321   0.32855-319     0.4453     1.3164     2.2057     2.9652     3.7458
   2022      1     13   12.00       288.00  -0.17787E+02   0.00000E+00  -0.20415E-10   0.15037E+01   0.37301E+01   0.00000E+00  -0.55061E-02  -0.17787E+02   0.37500E+02  -0.10554E+02  -0.26945E+02  -0.28698E+01   0.94663E-02   0.00000E+00   0.00000E+00       0.85      14.66     0.0000  0.00   0.55335-321   0.32855-319     0.4330     1.2826     2.1700     2.9463     3.7301
   2022      1     14   12.00       312.00  -0.17911E+02   0.00000E+00  -0.20827E-10   0.14804E+01   0.37149E+01   0.00000E+00  -0.54894E-02  -0.17911E+02   0.41036E+02  -0.12340E+02  -0.28696E+02  -0.28579E+01   0.97500E-02   0.00000E+00   0.00000E+00       0.85      17.63     0.0000  0.00   0.55335-321   0.32855-319     0.4215     1.2515     2.1376     2.9286     3.7149
   2022      1     15   12.00       336.00  -0.17752E+02   0.00000E+00  -0.21260E-10   0.14591E+01   0.37003E+01   0.00000E+00  -0.54521E-02  -0.17752E+02   0.42531E+02  -0.91916E+01  -0.33339E+02  -0.28461E+01   0.91501E-02   0.00000E+00   0.00000E+00       0.85      20.20     0.0000  0.00   0.55335-321   0.32855-319     0.4109     1.2230     2.1081     2.9121     3.7003
